DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
EDC8C7EDAA541F2BC1256F2E002DEF88,ABC-Waffe,ND,s. Waffe,,,77E0ED05C58092B2C1256F230035CA1A
6932FCC631E16C03C1256F230035E528,Abferkelstall,ND,s. Tierhaltung,,,2EE5FFA716B7875CC1256F230035C7F6
26AA1FD452A8FBD8C1257A46005643E3,Abkantmaschine,ND,s. Werkzeugmaschine,,,A5E57F3D451B4FEAC1256F230035CB01
14C61A64112DADD4C1257A4600566B18,Abkantpresse,ND,s. Werkzeugmaschine,,,A5E57F3D451B4FEAC1256F230035CB01
F0ACCE5C7B73D384C1256F230035E533,Abkantschweißen,ND,s. Schweißen,,,1DF6C68D858BBCC0C1256F230035C536
1FA904AA6AFF524CC1257A460056D411,Abklatsch (Drucktechnik),ND,s. Reprographie,,,CE5293CC54CF973EC1256F230035C34B
F9F91430B697256CC1257A460056CDB5,Abklatsch (Drucktechnik),ND,s. Druck (Papier),,,A9B63748BB0A15C2C1256F230035B3A9
5CEE61768293FF12C1257A460056BFC0,Abklatschverfahren,ND,s. Reprographie,,,CE5293CC54CF973EC1256F230035C34B
B3A1016761366301C1257A460056B58D,Abklatschverfahren,ND,s. Druck (Papier),,,A9B63748BB0A15C2C1256F230035B3A9
81F59784D100E207C1257A4600576B6E,Abkühlung (Metall),ND,s. Härten (Metall),,,C4DC2564E26DC761C1256F230035B7FB
6E6E2E1D5979F342C1257A4B00568175,Ablaufsteuerung,ND,s. Steuerung (Steuerungstechnik),,,B7AC67A4652A3A33C1256F230035C6B1
AB79F0C8DF666BDAC1257A4D0057DC7A,Abmaß,ND,s. Toleranzsystem,,,24CCE442F12FDC69C1256F230035C819
A6BE2BF187C195F7C1257A4D0058A3E1,Abrichten (Hobeln),ND,s. Hobeln,,,A180E1FA5D669343C1256F230035B8A8
0674D7FFAA80566CC1257A4D0058DDC8,Abrichthobelmaschine,ND,s. Werkzeugmaschine,,,A5E57F3D451B4FEAC1256F230035CB01
2AA3D845DD47C6CCC1257A4D0058D6F7,Abrichthobelmaschine,ND,s. Hobeln,,,A180E1FA5D669343C1256F230035B8A8
B6D9AE1A888FC7E4C1257A4D00592594,Abriebfestigkeit,ND,s. Lack,,,0A8DAEC3F84A50F5C1256F230035BC5B
B61E2FE3B690E8A5C1257A4D0059F78F,Abscheren,ND,s. Spanen,,,FC8DCCB9F7356F8BC1256F230035C620
3A40DE21DA444319C1257A53005D1C44,Abstich (Metallurgie),ND,s. Hochofen,,,9C385CA6D27E09AFC1256F230035B8AF
00BB22AA7183D744C1257A53005DE2A6,Abstumpfung,ND,s. Spanen,,,FC8DCCB9F7356F8BC1256F230035C620
00CEFAB5CA29527EC1257A53005DDA7A,Abstumpfung,ND,s. Sägen,,,96FFD4ADC525AD8DC1256F230035C420
03EFF7A44CDF9B2EC1256F230035E54A,Abteilung,ND,s. Betriebsorganisation,,,7A154BDA150261BCC1256F230035B074
455BE46A1BBE6DB5C1257A53005E75B7,Abtriebsdrehzahl,ND,s. Werkzeugmaschine,,,A5E57F3D451B4FEAC1256F230035CB01
CA3DA523FF85994AC1257A560054D715,Abwälzverhalten,ND,s. Läppen,,,FA6CAE06E1F9D879C1256F230035BCB4
7F2C4B91411E44A9C12572F800302F66,Accessoire,ND,s. Mode,,,7407A518CAB5C39AC1256F230035BF2F
61766147AF40F193C1257A580038FB82,Acetatkunstseide,ND,s. Faser,,,529B6B4832809A85C1256F230035B503
4F5EECC8A00739C7C1257A5C00608186,Acetylen-Sauerstoffgemisch,ND,s. Schweißen,,,1DF6C68D858BBCC0C1256F230035C536
EEA2DF16EEAE7971C1257A5C006152AC,Achsaufhängung,ND,s. Kraftfahrzeugtechnik,,,F3B827B043A379C8C1256F230035BBD2
9B905E70A988A677C1256F230035CC9C,Ackerbau,D,s.a. Gartenbau,,,2189405C95DEEEB2C1256F230035B644
9EA123AF7B6E5630C12576CD0050FEA7,Adler (Schreibmaschine),ND,s. Schreibmaschine,,,370BF783B73C9C52C1256F230035C4E7
2516C1BF250B4B76C1257A5E003814A8,Adlerjagd,ND,s. Jagd (Weidwerk),,,8BF73215B5BB771CC1256F230035B9C7
877B930240E543ECC1257A5E003823FA,Adlerjagd,ND,s. Falknerei,,,91210C922B0B7654C1256F230035B4EC
0237B2B280F417CEC1256F230035E57A,Admiral (Dienstgrad),ND,s. Marine,,,FC05253D5E4C1B21C1256F230035BE3A
A701DDAA4F9AF44EC1257A61005FE7FF,Adventskranz,ND,s. Blumenbinderei,,,0097441B0A8279D4C1256F230035B0F2
26306ED1FCF9B47CC1257A7C005F5CCA,Agrartechnik,ND,s. Landmaschine,,,D69B70043B96E174C1256F230035BC9C
37B95E8350392F49C1257A7C005F479A,Agrartechnologie,ND,s. Landmaschine,,,D69B70043B96E174C1256F230035BC9C
C9FA589C8E33262EC1256F230035ADCC,Akkordarbeit,DS,"Tätigkeit, die nach Leistungseinheiten bezahlt wird, d.h. auf Schnelligkeit ausgerichtetes Arbeiten im Stücklohn (Akkordlohn).",Arbeitslehre,,
9A36C46C978C669FC1256F230035E5B3,Akkordlohn,ND,s. Akkordarbeit,,,C9FA589C8E33262EC1256F230035ADCC
1916E0FC3D7523B5C1257A92005B70FA,Allgäuer Methode,ND,s. Rinderhaltung,,,6B8CB16C6D2A8AD4C1256F230035C399
