DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
6632ED262A6A307AC1257A460055BB44,Abkanten (umformendes Fertigungsverfahren),ND,s. Metalltechnik,,,A38143C8F0FBE36CC1256F230035BED5
FF12A44A4FAB3070C1257A4E005366C6,Absetzen (Schmiedetechnik),ND,s. Schmied,,,24CCEBA455F05A40C1256F230035C4C4
F12C5B10C2D7E9CDC12573A6003EEE9F,Ärztin,ND,s. Arzt,,,C67BD3B2BA384A32C1256F230035AEBB
0065A9104E5DE5E6C1256F230035AD90,Agraringenieur,DS,Berufsbild,Berufliche Bildung,,
89A26DED5390798BC125738E003D15E2,Agraringenieurin,ND,s. Agraringenieur,,,0065A9104E5DE5E6C1256F230035AD90
3957C70F0C628D61C1256F230035ADCF,Aktenverwalter,DS,Berufsbild,Berufliche Bildung,,
3E145703A7933121C125739C004125A1,Aktenverwalterin,ND,s. Aktenverwalter,,,3957C70F0C628D61C1256F230035ADCF
86C186B8764DCFB2C1256F230035E605,Altenpfleger,ND,s. Pflegeberuf,,,2A9E2A3BD0204E92C1256F230035C1BC
A66F2CBA7FD26C8FC12573D90034A199,Altenpflegerin,ND,s. Pflegeberuf,,,2A9E2A3BD0204E92C1256F230035C1BC
B53DE29B5550B461C1256F230035AE31,Animateur,DS,Berufsbild,Berufliche Bildung,,
AADA700E92C27D80C1256F230035AE33,Anlagenmechaniker,DS,Berufsbild,Berufliche Bildung,,
2B9A5BA088F3AD54C12573910049125B,Anlagenmechanikerin,ND,s. Anlagenmechaniker,,,AADA700E92C27D80C1256F230035AE33
ADA1BA37ABE78048C1257AB8006200BD,Anodische Oxidation,ND,s. Metalltechnik,,,A38143C8F0FBE36CC1256F230035BED5
C0E53F73E9F0DDF3C1257ABD0063B5FF,Anreißen,ND,s. Metalltechnik,,,A38143C8F0FBE36CC1256F230035BED5
65C8DC65F8672B4FC1257ABD006429C2,Anrunden,ND,s. Metalltechnik,,,A38143C8F0FBE36CC1256F230035BED5
35FF5D5101CA56EAC1256F230035AE42,Anwaltsgehilfe,DS,Berufsbild,Berufliche Bildung,,
8B70911046853A9FC125739C00415492,Anwaltsgehilfin,ND,s. Anwaltsgehilfe,,,35FF5D5101CA56EAC1256F230035AE42
10CD843B861789AAC1256F230035AE4A,Apothekenhelfer,DS,Berufsbild,Berufliche Bildung,,
9E13ACA783B1DB0DC12573A30041B475,Apothekenhelferin,ND,s. Apothekenhelfer,,,10CD843B861789AAC1256F230035AE4A
C0F8E12E2C37F556C1256F230035AE4B,Apotheker,DS,Berufsbild,Berufliche Bildung,,
8BFF5A36CEF4DE88C12573A30041A6E4,Apothekerin,ND,s. Apotheker,,,C0F8E12E2C37F556C1256F230035AE4B
142E6B8B95BE2E6DC1256F230035CD8E,Arbeitnehmer,D,s.a. Facharbeiter,,,6C7A2865E84FE95CC1256F230035B4D1
5F94A91A4075FBE3C1256F230035AE8F,Arbeitsberater,DS,Berufsbild,Berufliche Bildung,,
