DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
73A294CEE3B616D6C1256F230035E50E,"Aalst, Willem van",ND,s. Niederländische Malerei,,,CB2275D2D92F221BC1256F230035C06A
90F60129A7D1449DC1257A4200446C2A,"Aalto, Alvar",DS,"Hugo Alvar Henrik Aalto (1898-1976), war ein finnischer Architekt und Designer. Alvar Aalto wurde bekannt für seine besonderen Konzeptionen im Bereich des organischen Bauens. Ein relativ bekanntes Designerstück von Aalto ist die Aalto-Vase. Die Aalto-Universität in Helsinki trägt seit 2010 seinen Namen.",Bildende Kunst,,
03773948EEC80E33C1256F230035AD6D,Abstrakte Malerei,DS,Ungegenständliche Malerei. Richtung der Malerei des 20. Jh. Auf Wiedergabe eines Naturvorbildes wird völlig verzichtet. 1910 schuf Wassily Kandinsky das erste abstrakte Aquarell.,Bildende Kunst,,
1AAFFA7EDFC2B4E6C1256F230035CC97,Abstrakte Malerei,D,s.a. Moderne Malerei,,,BC6D6D69D28B7248C1256F230035BF39
8F2F4F3D9F738F88C1256F230035CC96,Abstrakte Malerei,D,"s.a. Kandinsky, Wassily",,,5D5D5C222BAF9D71C1256F230035BA67
57D94BF45EB06F6EC1256F230035AD6E,Abstrakte Plastik,DS,"Gestaltung plastischer Volumina ohne gegenständliche Bedeutung (z.B. Archipenko, Moore).",Bildende Kunst,,
9C14588DF9744ACEC1256F230035E549,Abstrakter Expressionismus,ND,s. Aktionskunst,,,B7EA0BE590FD538EC1256F230035AD78
2924C743E92FA814C1257A53005DFF59,Absurdes Theater,ND,s. Theater,,,107B551F92198B29C1256F230035C7CC
5E84D60D7559D308C1256F230035AD73,"Achenbach, Andreas",DS,Deutscher Maler (1815-1910).,Bildende Kunst,,
E9E252435739EA41C1256F230035AD77,"Ackermann, Max",DS,Deutscher Maler (1887-1975).,Bildende Kunst,,
4347EB00D5DC42A1C125846600561801,"Acosta, Carlos",DS,Carlos Acosta CBEM geb. 1973; ist ein kubanischer Balletttänzer und Choreograf.,Bildende Kunst,,
