DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
BB5264C418338A7FC1257A5D00575E3C,ACTH,ND,s. Hormon,,,6804763E0DAB03B1C1256F230035B8F8
C51BF8D3265D0707C1257A5D00584377,ADA-Mangel,ND,s. Immunsystem,,,1BF0746BB5F9792EC1256F230035B948
E7A329F2532F4B19C1257A5D00583866,ADA-Mangel,ND,s. Gentechnologie,,,FE391B0F2BB16247C1256F230035B67E
2E9D332398C49CEFC12583B70061C021,ANS,ND,s. Vegetatives Nervensystem,,,B3B99159E1C8DD0DC12583B700612D7C
79D2C8FF73538F71C12572F7003CC7B4,Aal,ND,s. Fische,,,864C59BE30716283C1256F230035B550
58EF57F71518A2CFC1257A42004444F2,Aalrute,ND,s. Laichverhalten,,,A418601709EAD476C1256F230035BC66
0988A735DADBB30DC1257A4200451A28,Aasfresser,DS,"Als Aasfresser oder Nekrophagen werden Tiere bezeichnet, deren hauptsächliche Nahrung aus Tierkadavern besteht. Im Naturhaushalt erfüllen sie wichtige Aufgaben. Bekannte Beispiele sind Geier und Aaskäfer.",Biologie,,
DB7DC28622A9D499C12572F800297B25,Aasgeier,ND,s. Greifvögel,,,87F3AD9D195BB2D1C1256F230035B769
7DF266D203391986C1257A420045669B,Aasgeier,ND,s. Aasfresser,,,0988A735DADBB30DC1257A4200451A28
845C57DE68D00BD3C1256F230035E510,Aaskäfer,ND,s. Käfer,,,0AF1E68ABA9C32D4C1256F230035BA42
E954860AD61656C9C1257A4200456E7D,Aaskäfer,ND,s. Aasfresser,,,0988A735DADBB30DC1257A4200451A28
9A226AEF442991FCC1257A44005A682B,Abbauprozess (See),ND,s. Selbstreinigung,,,09BC529351586F71C1256F230035C56F
1904E39D7208FF03C1257A44005BCB49,Abbruchblutung,ND,s. Menstruation,,,259B3040C5B26524C1256F230035BEBE
37B1ABAA91CA1619C1257A4600553C1E,Abiotischer Faktor,ND,s. Lebensraum,,,5BD3BC7487BE4EA8C1256F230035BCEF
F99F773C6AD884F0C1257A4600554C44,Abiotischer Umweltfaktor,ND,s. Lebensraum,,,5BD3BC7487BE4EA8C1256F230035BCEF
F8C43A8DFED36D5AC1256F230035E535,Ablaichen,ND,s. Laichverhalten,,,A418601709EAD476C1256F230035BC66
BE59E32CC6B4D607C1256F230035E547,Abstammung,ND,s. Evolution,,,7B9228F4922276E1C1256F230035B4C1
5D496B5870FC2883C1256FA900367053,Abstammungslehre,ND,"s. Darwin, Charles",,,FE6B2DDA93682753C1256F230035B2DE
