DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
487DED376D140024C1257A420044B7BD,AAS (Chemisches Analyseverfahren),ND,s. Chemische Analyse,,,39B1950530893F43C1256F230035B235
640C5CC2D857D6F3C1257A4E0054196A,Absorption (Chemie),ND,s. Chemische Analyse,,,39B1950530893F43C1256F230035B235
7D636A0821A9585EC1256F230035E569,Acetatcellulose,ND,s. Chemiefaser,,,16EF7412F26E1280C1256F230035B22E
8F72581D8ED09AF6C1257A5C00605662,Acetylen,ND,s. Gas,,,860EB884735C5E4BC1256F230035B649
557BAA045D4CAB39C1257229003C8A9D,Actinium,ND,s. Chemische Elemente,,,9018AF289E5B6750C1256F230035B236
DCFF8274F987B39CC1257A7A003AD702,Aggregation (Chemie),ND,s. Chemie,,,CD2C092B5C04DE54C1256F230035B22B
AB959521003247BDC125776E00537494,Aggregatzustand,D,s.a. Gas,,,860EB884735C5E4BC1256F230035B649
ABEE4CD9EFDB6BACC1256F230035AD8E,Aggregatzustand,DS,"Die Erscheinungs- und Zustandsform, in der ein Stoff (allgemein: die Materie) unter den durch Druck und Temperatur bestimmten äußeren Bedingungen existiert. Grob gesehen unterscheidet man den festen, flüssigen und gasförmigen Aggregatzustand.",Chemie,,
B7E4459790332066C1258221005FC50F,Aggregatzustand,D,s.a. Phasenübergang,,,0F509263EB07C44AC1258221005FB881
3C8E6667CD0FEC39C12584200057B136,Aggregatzustand,D,s.a. Wasserdampf,,,BFB3A42B6087297FC125794B005CE3CA
74687D82CAE85F85C1256F230035E5B9,Aktivierungsenergie (Chemie),ND,s. Chemische Aktivierungsenergie,,,E8165680FFB9E76AC1256F230035B234
E94177F6F277CA66C1257A8200375EB9,Alcopop,ND,s. Alkohol,,,87BA62E4E2A2F2EDC1256F230035ADEC
7B54900A56CD35C9C1256F230035CCCC,Alkalimetalle,D,s.a. Periodensystem der Elemente,,,DEF8061D2D515199C1256F230035C190
E197443FB6B3FA38C1256F230035ADEB,Alkalimetalle,DS,"Die Metalle der ersten Hauptgruppe des Periodensystems der chemischen Elemente: Lithium, Natrium, Kalium, Rubidium, Cäsium, Francium. Besitzen geringe Dichte sowie sehr niedrige Schmelz- und Siedepunkte.",Chemie,,
A0CE35068EE318F3C1257A840058DFA6,Alkalisalz,ND,s. Salz (Natriumchlorid),,,D7CC0AE7E845E7FFC1256F230035C42E
C37BC794EC36A203C1257A840058D824,Alkalisalz,ND,s. Halogen,,,7C8323454C1A4D2EC1256F230035B7DA
00BCDD2DD4BC31A0C1257A8500601865,Alkane,ND,s. Kohlenwasserstoffe,,,BCD968B1C004C8B9C1256F230035BB5E
2FF53F2C76648BBCC1257A7E005636EA,Alkanole,ND,s. Alkohol,,,87BA62E4E2A2F2EDC1256F230035ADEC
0B97917AEEC6254AC12573E50050A2A1,Alkohol,D,s.a. Destillation,,,18394EC9EAB1ECBCC1256F230035B31F
87BA62E4E2A2F2EDC1256F230035ADEC,Alkohol,DS,Beschreibung des chemischen Aufbaus und Auswirkungen beim Genuss (keine Sucht nur vereinzelter Missbrauch) auf den Menschen z.B. zur Gesundheitserziehung oder bzgl. Fahrbeeinträchtigung.,Chemie,,
C84C91F266E84857C12573E50050AD2D,Alkohol,D,s.a. Bier,,,BD81162830D88CD9C1256F230035B09E
B876DC7C116FF750C1257DBB00394AF1,Alkohol,D,s.a. Glycerin,,,8151450E3C132083C1257DBB0039300B
8379008413FDCC9FC125843800591AEF,Alkohol,D,s.a. Wein,,,8031091734CBCAF3C1256F2300360AE0
A070F489F94D5160C1256F2B002A8ED6,Alkoholfreies Bier,ND,s. Bier,,,BD81162830D88CD9C1256F230035B09E
382E934E19442BAFC1256FE0002AA3B9,Alkoholgärung,ND,s. Gärung,,,23CC20CE9E210A1CC1256F230035B648
49A6016559AB7A53C1257A86005DC07D,Alkoholische Gärung,ND,s. Gärung,,,23CC20CE9E210A1CC1256F230035B648
EC85BE6B6D227538C1256F230035CCCE,Alkoholismus,D,s.a. Alkohol,,,87BA62E4E2A2F2EDC1256F230035ADEC
B6BF3C7FC8FA94F3C1257CE4005D57AF,Alkomat,ND,s. Alkohol,,,87BA62E4E2A2F2EDC1256F230035ADEC
B171A25DB344A051C1257A8200377232,Alkopop,ND,s. Alkohol,,,87BA62E4E2A2F2EDC1256F230035ADEC
E031C4601154139EC1257CEE0056AEAC,Alkylcarbonsäure,ND,s. Fettsäure,,,AC7F6495953AAF5CC1256F230035EE5D
B4DC792BBBF01820C1257A9F00585B46,Alphastrahl,ND,s. Radioaktivität,,,4C672CB30D2B5C2CC1256F230035C29D
F66AF8710DDA9B37C1257A9F00584906,Alphastrahlung,ND,s. Radioaktivität,,,4C672CB30D2B5C2CC1256F230035C29D
3A743417FD29F873C1257A9F00588433,Alphateilchen,ND,s. Radioaktivität,,,4C672CB30D2B5C2CC1256F230035C29D
306F372E0FB6A092C1256F230035E624,Altöl,ND,s. Öl,,,044470211F535936C1256F230035C0DA
7EB4596AE966A26DC1257AA50036D076,Aluminat,ND,s. Aluminium,,,69269ABA6B04FE01C1256F230035AE0A
69269ABA6B04FE01C1256F230035AE0A,Aluminium,DS,Leichtmetall und neben Eisen das wichtigste Gebrauchsmetall. Silberweißes und sehr dehnbares Metall. Es kann zu sehr feinen Drähten und Folien ausgezogen werden.,Chemie,,
8249EF84AAD392DBC1257AA50036E2FB,Aluminiumhalbzeug,ND,s. Aluminium,,,69269ABA6B04FE01C1256F230035AE0A
C6EC1EBAA9FC2AE8C1257AA500373172,Aluminiumoxid,ND,s. Aluminium,,,69269ABA6B04FE01C1256F230035AE0A
63000D30E43C330DC125742400386BC0,Americium,ND,s. Chemische Elemente,,,9018AF289E5B6750C1256F230035B236
EC49D90234E6E516C1257BE8005F28FF,Aminosäuren,D,s.a. Naturstoff,,,AA8AAD6CC8AD41E2C1257BE8005EA697
5BDD613A8171E07AC1257C400059A17B,Aminosäuren,D,s.a. Dipeptid,,,D9C11B3ADAC81061C1257C4000597BE2
6365F9A668F9EF0EC1256F230035AE13,Ammoniak,DS,"NH3, farbloses Gas mit charakteristischem stechendem Geruch. Flüssiges Ammoniak stellt ein gutes Lösungsmittel für viele organische und anorganische Stoffe dar. Seine Eigenschaften und Herstellung.",Chemie,,
31978999BE1A4DC0C1257AA7005C24BB,Ammoniaksynthese,ND,s. Ammoniak,,,6365F9A668F9EF0EC1256F230035AE13
7D1707F51AB89A17C1257AA7005CB9FC,Ammoniumnitrat,ND,s. Ammoniak,,,6365F9A668F9EF0EC1256F230035AE13
22797C9A7FE6E815C1257DAC0056CE0A,Ammoniumnitrat,ND,s. Gefahrstoff,,,311381F72A8FD913C1257D80004C72CC
9CEA441CEC53AE1AC1257AA8005F179F,Ampholyt,ND,s. Chemische Verbindung,,,A97E4110A45CC5AAC1256F230035B23A
441E28CB117CEC48C1257AAC003A1282,Anaerobier,ND,s. Gärung,,,23CC20CE9E210A1CC1256F230035B648
7DA313875C6AFE64C1257AAC003A2D78,Anaerobier,ND,s. Chemische Reduktion,,,05A0338E656059F7C1256F230035B239
2B76C4682D724EE3C1256F230035E645,Analyse (Chemie),ND,s. Chemische Analyse,,,39B1950530893F43C1256F230035B235
987AC110EB6807CEC1257AB0005C95DC,Analyseverfahren (Chemie),ND,s. Chemische Analyse,,,39B1950530893F43C1256F230035B235
0BA5A9570D900E1BC1256F4D0037AA24,Analytische Chemie,ND,s. Chemie,,,CD2C092B5C04DE54C1256F230035B22B
EDC69F7925A74D09C1256F230035E646,Analytische Chemie,ND,s. Chemische Analyse,,,39B1950530893F43C1256F230035B235
0E49161DB2C88E1EC1257D6E004732B8,Analytische Chemie,ND,s. Elektrochemie,,,43DFE8A0E4CA1A60C1257D6E0046B6D9
F3BDD858833CC4D0C1256F230035E65A,Angewandte Chemie,ND,s. Chemie,,,CD2C092B5C04DE54C1256F230035B22B
524A629AA413CCDEC12572FF003F7A81,Anion,ND,s. Atom,,,DD5BFB3E24365637C1256F230035AED8
51E69D5ECAAC90B5C1257AB80061F92C,Anodische Oxidation,ND,s. Oxidation,,,9950FADEA8173B0CC1256F230035C12A
A67C51AA653D441CC1257F1D006079AE,Anorganik,ND,s. Anorganische Chemie,,,75C6FC9EF3BD1DC5C1256F230035E667
