DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
C4321350EEA71027C1256F230035E513,Abc,ND,s. Alphabet,,,CF6C2E533D40EDE1C1256F230035ADFA
CE6B4E9CD2DD350FC1257A44005C9EAC,Abenteuer,ND,s. Abenteuerhörspiel (für Jugendliche),,,9964E030467CDBFEC125720D00339DBB
9964E030467CDBFEC125720D00339DBB,Abenteuerhörspiel (für Jugendliche),DS,Hörkunstwerk für Jugendliche mit abenteuerlichem Themenhintergrund.,Deutsch,,
2271E2F026A4CB54C1256F230035E515,Abenteuerroman,ND,s. Roman,,,74A210DEDB64180FC1256F230035C3C3
3BB784732EDFD702C1256F230035AD75,"Achternbusch, Herbert",DS,Deutscher Schriftsteller; geb. 1938; schreibt Prosa und macht Filme.,Deutsch,,
793965F061F5C342C1256F230035AD81,Adjektiv (Deutsch),DS,"Eigenschaftswort der deutschen Sprache. Wortart zur näheren Kennzeichnung einer Eigenschaft einer Person oder Sache, z.B. klein, groß; lässt sich beugen und steigern.",Deutsch,,
B4F7A037A398F852C1256F230035AD84,"Adler, Walter",DS,Deutscher Hörspielautor und Regisseur; geb. 1947.,Deutsch,,
C244F2C46E6BB9B3C1257A1C004FEECC,Advent,D,s.a. Weihnachtliche Erzählung,,,1B1C3B9EC8006CABC1256F230035CAB6
E7B3570A522E7DA6C1256F230035AD88,Adverb (Deutsch),DS,"Umstandswort in der deutschen Sprache. Mit dem (unbeugbaren) Adverb werden Umstände der Zeit (z.B. gestern), des Ortes (hier), der Art und Weise (gern) oder des Grundes (deshalb) bezeichnet.",Deutsch,,
2108FD7A413F9755C125721E003D376F,Adverbiale,ND,s. Satzstruktur (Deutsch),,,37E3723DD4F2F30FC1256F230035C453
DFBC52729A89A008C12571C700479582,Adverbialsatz,ND,s. Satzstruktur (Deutsch),,,37E3723DD4F2F30FC1256F230035C453
35BDA79539F3E2ADC1256F230035E58D,Aeschylus,ND,s. Aischylos,,,85ADE4D57887695AC1256F230035ADB2
B64FEBDEEF1A60B8C12572F9002B6B0D,Affix,ND,s. Grammatik,,,6B7335F46686D9E5C1256F230035B74C
789909B520CACABDC12571710030A42E,Agentenroman,ND,s. Kriminalliteratur,,,3C21F64A5602E75DC1256F230035BC07
24C5282331DABE15C1256F230035AD96,"Aichinger, Ilse",DS,"Deutsche Schriftstellerin, geb. 1921; Preis der Gruppe 47 (1952), Petraca-Preis (1982), österreichischer Staatspreis für Literatur (1995). Hörspiele, Prosa, Gedichte.",Deutsch,,
85ADE4D57887695AC1256F230035ADB2,Aischylos,DS,Griechischer Tragiker (525/24-456/55 v.Chr.).,Deutsch,,
8C3C731AB21A9314C1256F230035E5AE,"Aist, Dietmar von",ND,s. Minnesänger,,,BA4FA54A102C177AC1256F230035BF14
85021EAE6B3F4311C12572DB00370903,Akkusativ,ND,s. Grammatik,,,6B7335F46686D9E5C1256F230035B74C
BEA7E3171FDAB2FCC12572120038A4D8,Akkusativobjekt,ND,s. Satzstruktur (Deutsch),,,37E3723DD4F2F30FC1256F230035C453
5A18821554344925C1256F230035ADD4,"Alafenisch, Salim",DS,"Geb. 1948 in Pakistan; Studierte Ethnologie, Soziologie und Psychologie in Heidelberg. Schreibt Geschichten im Stil traditioneller orientalischer Erzählkunst.",Deutsch,,
368F3D073E9D7993C1256F230035E5C4,Alemannisch,ND,s. Mundart (schwäbisch-alemannisch),,,216BF3DD496FE22CC1256F230035BFB6
92716FB3C6EB56D2C1256F230035E5C5,Alemannische Mundart,ND,s. Mundart (schwäbisch-alemannisch),,,216BF3DD496FE22CC1256F230035BFB6
E86127464B1FAB6FC1256F230035ADE6,"Alexis, Willibald",DS,"Eigentlich Wilhelm Häring, deutscher Schriftsteller (1798-1871).",Deutsch,,
71A02FADC9F252F9C1256F230035CCD0,Allegorie,D,s.a. Gleichnis,,,A6F70893883ECE94C1256F230035B702
64BC76650FC5820EC1256F230035ADF6,"Allmers, Hermann",DS,"Schriftsteller, Kulturhistoriker (1821-1902).",Deutsch,,
B70A9C91C60AAA79C1257A93005DF49B,Alltagssprache,ND,s. Umgangssprache,,,05A3F069D06E821EC12572B2002A09A5
BD867A9937D69528C1257A9700324C71,Almanach,ND,s. Nachschlagewerk,,,BE97702FE21B905CC1256F230035BFEE
CF6C2E533D40EDE1C1256F230035ADFA,Alphabet,DS,"Festgelegte Reihenfolge der Schriftzeichen einer Sprache. Bzgl. Entwicklung, Kommunikationsgrundlage, Erlernen.",Deutsch,,
FA0ACF95AB5904E0C1256F230035CCF8,Alphabet,D,s.a. Sprachschulung,,,EB197B2D7364D20FC1256F230035C651
2E256F1735A3037AC12571C4004E26F3,"Alte, Reinmar der",ND,s. Minnesänger,,,BA4FA54A102C177AC1256F230035BF14
DD85159BDF88B9F8C1256F230035AE04,"Althaus, Peter Paul",DS,Deutscher Schriftsteller (1892-1965).,Deutsch,,
EF65FFF09AAA8952C1256F230035AE05,Althochdeutsch,DS,"Älteste Stufe hochdeutscher Sprache in Mundarten und Ansätzen von Schriftsprache (Hildebrandslied, Merseburger Zaubersprüche). Zeitraum 750-1100.",Deutsch,,
023034D57FF23EE8C1256F230035AE10,"Amery, Carl",DS,Deutscher Schriftsteller; eigentlich Christian Anton Mayer (1922-2005).,Deutsch,,
BC09FFD7B1B10728C1257AAC003C6F49,Analogie (Rhetorik),ND,s. Rhetorik,,,2AED8459DD65962AC1256F230035C376
E459A61558FF136DC1257AAC003C8EAE,Analogie (Sprachwissenschaft),ND,s. Sprache,,,99D470EF342AE5CDC1256F230035C64E
3A6A122E1B7C5C6DC1256F230035CD39,Analphabetentum,D,s.a. Sprachschulung,,,EB197B2D7364D20FC1256F230035C651
FC114D2109A8FE08C1256F230035CD38,Analphabetentum,D,s.a. Alphabet,,,CF6C2E533D40EDE1C1256F230035ADFA
5C5479D71907EA8CC1256F230035AE23,"Andersch, Alfred",DS,Deutscher Schriftsteller (1914-1980).,Deutsch,,
A9BB550BAAB06E26C1256F230035AE24,"Andersen, Hans Christian",DS,"Dänischer Schriftsteller (1805-1875). Weltruhm durch ""Märchen und Erzählungen für Kinder"".",Deutsch,,
BE6A630AD8190F05C1256F230035AE2A,"Andres, Stefan",DS,"Deutscher, realistischer Erzähler und Lyriker (1906-1970).",Deutsch,,
D8C874E7508F8B4CC12572FF003D50CF,Anekdote,ND,s. Kurzgeschichte,,,55638B46513FEF09C1256F230035BC4B
BCF0DC092C7EB20AC1257AB3003D3604,Anekdote,ND,s. Erzählung,,,058D0866D9BF37F9C1256F230035B498
E85BEA1926FE571DC1257A58003832A3,"Angress, Ruth K.",ND,"s. Klüger, Ruth",,,4EC80198563676F7C1257A580037DD4B
57D12FFD14392B91C1257AB8005F5D6D,Anlaut,ND,s. Phonetik,,,A3A89045810ED041C1256F230035C1CE
F44C6ED4D113DCC8C12578B300374273,Ansprache,ND,s. Rede,,,3E340BDD0CCEFC4CC1256F230035C2E0
12FA8810E45EEBA8C1256F230035E64B,"Antschel, Paul",ND,"s. Celan, Paul",,,D4B8A0ADAC4A8EAEC1256F230035B20B
27D23527255A28DCC1257AE00039E3EE,Argument,ND,s. Dialog,,,FA9598F5032CBD38C1256F230035B344
301C4A0CA6987545C1257AE00039D9F2,Argument,ND,s. Dialektik,,,C34031B17F1460ECC1256F230035B343
50E5D89E2AEC06CBC1257AE00039EA8C,Argumentation,ND,s. Dialog,,,FA9598F5032CBD38C1256F230035B344
F1EE9CBF0A2EECB9C1257AE00039D40F,Argumentation,ND,s. Dialektik,,,C34031B17F1460ECC1256F230035B343
B71B1CD506D37CCFC1257AE00039C423,Argumentieren,ND,s. Dialektik,,,C34031B17F1460ECC1256F230035B343
CB33F5C4ED7D8813C1257AE00039F2F1,Argumentieren,ND,s. Dialog,,,FA9598F5032CBD38C1256F230035B344
798A39EBE9806183C1256F230035AEAC,"Arnim, Achim von",DS,Deutscher Dichter (1781-1831).,Deutsch,,
25692E81BC6A42DEC1256F230035AEAD,"Arnim, Bettina von",DS,"Elisabeth von Arnim (geborene Elisabeth Catharina Ludovica Magdalena Brentano), genannt Bettina, deutsche Schriftstellerin (1785-1859).",Deutsch,,
1EF27685E74E8CDDC1256F230035E6F4,"Arnim, Elisabeth von",ND,"s. Arnim, Bettina von",,,25692E81BC6A42DEC1256F230035AEAD
9E0665AEEF38FC4CC125730600285D15,Artikel (Geschlechtswort),ND,s. Grammatik,,,6B7335F46686D9E5C1256F230035B74C
BEABE8594C7FFA90C1257AEB003B6257,Artikulation,ND,s. Phonetik,,,A3A89045810ED041C1256F230035C1CE
78B004554D31BA10C1257AEB003B84D4,Artikulieren,ND,s. Phonetik,,,A3A89045810ED041C1256F230035C1CE
F98FE4829CB76AB3C1256F230035E6FC,"Artmann, H. C.",ND,"s. Artmann, Hans Carl",,,8FA4AB8F6A3BD533C1256F230035AEB7
8FA4AB8F6A3BD533C1256F230035AEB7,"Artmann, Hans Carl",DS,"Österreichischer Lyriker, Erzähler, Dramatiker (1921-2000).",Deutsch,,
55374E8087C1FD72C1257A0E005DE3F8,Artussage,ND,s. Sage,,,89ECC2A46517B268C1256F9A0035060D
3E43AA5A80418D49C12572C1002E866E,Aschenputtel,ND,s. Märchen,,,B28D157C3AC87066C1256F230035BE29
D33CE641BF23437BC125730900311DC7,Attribut (Beifügung),ND,s. Satzstruktur (Deutsch),,,37E3723DD4F2F30FC1256F230035C453
2494A706D14253F9C125767D003FF0DC,"Aue, Hartmann von",ND,s. Hartmann von Aue,,,C39C3005EEE5E18AC1256F230035B7FD
8F43038FF1316466C1256F230035E760,"Auersperg, Anton Alexander Graf von",ND,"s. Grün, Anastasius",,,49740453D6649387C1256F230035B783
860B44173FA9E9B6C12574C900331FDC,"Aufen, Golda Malka",ND,"s. Kaléko, Mascha",,,0D53513E90C6D603C1256F230035BA4E
89A3EAB1F242EC4DC1256F230035AEE9,Aufsatz (Deutsch),DS,Im/für den Deutschunterricht geschriebene Erzählung nach einem vorgegebenen Thema.,Deutsch,,
C9726BC74D950363C1256F230035CDFE,Aufsatz (Deutsch),D,s.a. Sprachschulung,,,EB197B2D7364D20FC1256F230035C651
17FDF3AF3310608FC1256F230035AEED,"Augstein, Rudolf",DS,"Deutscher Publizist und Schriftsteller (1923-2002); gründete 1946 die Wochenzeitschrift ""Der Spiegel"".",Deutsch,,
273FD1C429036916C1256F230035E79A,Ausdruck,ND,s. Mimik,,,088737BC0E7A2B15C1256F230035BF0B
21F1CB2DF325A71DC1256F230035E79C,Ausdrucksmittel,ND,s. Mimik,,,088737BC0E7A2B15C1256F230035BF0B
339A08E25540692CC1257BD9005342F2,Ausdrucksmittel,ND,s. Gestik,,,68979FFE55E6A109C1256F230035B6B6
513DCA1523C50EBAC1256F230035E7AF,Auslegung,ND,s. Interpretation (Deutsch),,,6EB88771BEFB0442C1256F230035B989
