DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
FF398417F247F6B1C1257A660039DBAF,Ärztliche Behandlung,ND,s. Krankheit (Vorschule),,,432669E80C47AE17C1256F230035BBDE
5575AA29FA183E7BC1257A660039C9C9,Ärztliche Untersuchung,ND,s. Krankheit (Vorschule),,,432669E80C47AE17C1256F230035BBDE
1FC8E7EF15990088C1256F230035CDB7,Arztbesuch,D,s.a. Krankheit (Vorschule),,,432669E80C47AE17C1256F230035BBDE
B142A62BD1ED2933C1256F230035AFFE,Begriffsbildung,DS,"Die Bildung eines Begriffes im Vorschulalter, d.h. das Herstellen der Beziehung zwischen Wort/Begriff und Gegenstand/Tätigkeit o.ä.","Elementarbereich, Vorschulerziehung",,
FF4FBFA0BD1E615EC1256F230035B0A9,Bilderbuch,DS,"Geschichten in einem für Kinder von 2 bis 4 Jahren entworfenen Buch mit zahlreichen Illustrationen und wenig oder gar keinem Text. Hier Medien, deren Herstellung/Inhalt auf Bilderbuchgeschichten basiert. Z.B. Diareihen, Tonbildreihen oder DVDs zu einem Bilderbuch.","Elementarbereich, Vorschulerziehung",,
F35C98764A87D11BC1256F230035E986,Bilderbuchgeschichte,ND,s. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
B660AAD5CC9D7AC0C1257A1C00527B33,Bildergeschichte,ND,s. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
4494319BD103C3A7C1257B64005D93A5,Bildgeschichte,ND,s. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
C93D2A3A2871DF5BC12575FD0052D776,Bildschirmbuch,ND,s. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
8E3258A1375B7459C1256F230035D034,Bildungseinrichtung,D,s.a. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
076469C6E8AB8DE6C1256F230035D1A5,Comic,D,s.a. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
23457BC0367D342BC1256F230035EB8E,Cross-Age-Helping-Programm,ND,s. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
4E623D6D6A509F23C1257C620060884A,Ecole Materielle,ND,s. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
D3EACFF6957C2F1EC1256F230035D5E7,Grundschule,D,s.a. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
6813804A1FB758D7C1257849005EBF04,Kinder- und Jugendliteratur,D,s.a. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
5530BCE511AB78C5C1257849005EE6AA,Kinderbuch,ND,s. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
0DA410593B0F0537C1256F230035D7F8,Kinderbuchverfilmung,D,s.a. Bilderbuch,,,FF4FBFA0BD1E615EC1256F230035B0A9
4DF3751E28BE7D44C1256F230035D800,Kindergarten,D,s.a. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
8ECD621527A826F2C1256F230035BB7B,Kommunikationsförderung,DS,Die spezielle Förderung/Herausforderung von Kommunikation in der Vorschulerziehung. Sprechanlass geben.,"Elementarbereich, Vorschulerziehung",,
D7A4EF91FACE6D1AC1257F1B005DD9C0,Kommunikationsprojekt,ND,s. Kommunikationsförderung,,,8ECD621527A826F2C1256F230035BB7B
A815CD96C0847583C1256F230035D8A5,Krankheit,D,s.a. Krankheit (Vorschule),,,432669E80C47AE17C1256F230035BBDE
432669E80C47AE17C1256F230035BBDE,Krankheit (Vorschule),DS,"Darstellung des Krankseins für Kinder und Krankenhausbesuch, v.a. zum Angstabbau.","Elementarbereich, Vorschulerziehung",,
5684A746EB8676F3C1256F230035DDB2,Rechtschreibung,D,s.a. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
16D2FE2D44C70687C1256F230035C58B,Sesamstraße,DS,Fernsehproduktion für Vorschul- bzw. Grundschulkinder.,"Elementarbereich, Vorschulerziehung",,
5BF97527D052B2D3C1256F230035DFF1,Spielen,D,s.a. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
039C0ECE24DC58C7C1256F2300360415,Spielerziehung,ND,s. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
4E2156E1DC4D87B6C1256F230035E026,Sprachschulung,D,s.a. Begriffsbildung,,,B142A62BD1ED2933C1256F230035AFFE
0F63D3036BD08173C1256F2300360489,Sprechanlass (Vorschule),ND,s. Kommunikationsförderung,,,8ECD621527A826F2C1256F230035BB7B
4DBCD50E5A1717E5C1256F230035E0C4,Symbol,D,s.a. Begriffsbildung,,,B142A62BD1ED2933C1256F230035AFFE
5E5C6C38EAF5B48DC1256F230036070B,Terminologie,ND,s. Begriffsbildung,,,B142A62BD1ED2933C1256F230035AFFE
8360F18FFE7FABF6C1256F2300360A0D,Vorbereitung auf das Lesen,ND,s. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
F8EA55FC58507DDAC12583F9005A6A04,Vorschule,ND,s. Vorschulerziehung,,,8E8FB63FF31FFFB5C1256F230035C9FE
