DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
601F089B05BE05A6C1257A4000578602,50 Jahre Erklärung der Menschenrechte,ND,s. Menschenwürde,,,B35CAA5B3D4E0F6FC1256F230035BEBC
E478560341A5A958C1257A400057CE14,50 Jahre Grundgesetz,ND,s. Menschenwürde,,,B35CAA5B3D4E0F6FC1256F230035BEBC
D8A065FA708D0D59C1257A5C0061AC78,Achtung vor Menschen,ND,s. Menschenwürde,,,B35CAA5B3D4E0F6FC1256F230035BEBC
7B22C8E7E7FC482AC1256F4D00329EC9,"Adorno, Theodor Wiesengrund",ND,s. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
EF0E27D7236B7DA4C1257ACB00586575,Arbeit (Philosophie),ND,s. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
8746E49B9CFB329AC1256F230035AF1D,Autosuggestion,DS,"Form der Suggestion, bei der die Beeinflussung vom eigenen Selbst ausgeht. Sie kann bewusst hervorgerufen werden oder unbewusster Art (Wunschdenken) sein.",Ethik,,
C1ED6709F25067E1C125798200519BD5,Axiologie (Philosophie),ND,s. Wertphilosophie,,,B5079E5F9D71ADCEC1256F230035CB08
E0D1307CD434D0D6C1257332004C1075,Bioethik,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
E9B5A7B0B0972CC6C12575D1004638F6,"Brune, Paul",DS,"Geb. 1935, er wurde als ""gemeingefährlicher, debiler Psychopath"" von 1943 bis 1957 psychiatrisiert und war der Gewalt von Anstaltsleitern, Ärzten und Ordensschwestern ausgeliefert. Er kämpfte mit Petitionen an den Landtag NRW um seine Rehabilitation und worde 2003, nach 60 Jahren, als eines der ersten Opfer der NS-Psychiatrie anerkannt.",Ethik,,
EA1D6FA0D87A3936C1256F230035E0D2,Daoismus,D,s.a. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
3F97F454AFBB9A5FC1257C22005B75F3,Demokrit,ND,s. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
34D2C174D371C934C1257C23005B19A1,Demütigung,D,s.a. Menschenwürde,,,B35CAA5B3D4E0F6FC1256F230035BEBC
E0D08EABA8A57C64C1257C640040F1B1,Ehrlichkeit,D,s.a. Wertphilosophie,,,B5079E5F9D71ADCEC1256F230035CB08
012B8169731895A1C1257C7F005BE69D,Elend,ND,s. Leid,,,133E552A7304A6F3C1256F230035BD13
CB581C8CC2EE898AC1256F230035ED51,Epistemologie,ND,s. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
01AEF65451CB7899C1256F9E00376A75,Erfolgsethik,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
DAF387A13980D94EC1256F230035ED80,Erkenntnistheorie,ND,s. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
178BB54E07A7BAFAC1257551005F3E0B,Ethik,D,s.a. Kaste,,,79AEC665809C9156C1256F230035BA95
1CEF735F6F4326CCC1257551005F6CF0,Ethik,D,s.a. Weltschmerz,,,2A47F91CD3DB3B1CC1256F230035CAE4
3777B407CEF49194C1257551005F383A,Ethik,D,s.a. Gerechtigkeit,,,BAE21E741377A0A2C1256F230035B690
3A3E546318FBF8E5C1257551005F65DC,Ethik,D,s.a. Weltanschauung,,,610CC87D14246033C1256F230035CADA
4486A7B22AE21964C1257551005F4413,Ethik,D,s.a. Lao-Tse,,,02939A3032F69C62C1256F230035BCB2
726EC0329FA238FEC1257551005F3016,Ethik,D,s.a. Autosuggestion,,,8746E49B9CFB329AC1256F230035AF1D
8BDC511D055EB746C1257551005F5676,Ethik,D,s.a. Menschlichkeit,,,8EEF9BB8F850C9F8C1256F230035BEBD
9838AFD36C8ABD5EC1257551005F4FF9,Ethik,D,s.a. Menschenwürde,,,B35CAA5B3D4E0F6FC1256F230035BEBC
9FE51A80204D6E14C1257551005F49FD,Ethik,D,s.a. Leid,,,133E552A7304A6F3C1256F230035BD13
A23D0444CB718517C1256F230035D378,Ethik,D,s.a. Moral,,,202D853823E61D46C1256F230035BF6F
C535E7A13D8843D6C1257551005F5E51,Ethik,D,s.a. Pflicht,,,64500CCE38F529B0C1256F230035C1BE
D08CC9915060E81DC1256F230035B4A6,Ethik,DS,"Philosophische Wissenschaft vom Sittlichen. Die Ethik fragt entweder nach der Gesinnung (Gesinnungsethik) oder nach der Wirkung der menschlichen Handlungen (Erfolgsethik). Vernünftigkeit der Intentionen forderte die formale Ethik, ihr Hauptvertreter in der Neuzeit war Kant.",Ethik,,
E446B848918A8D10C1256F230035D379,Ethik,D,s.a. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
8FEAD1642D3E4B2BC1256F230035EDB1,Ethikunterricht,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
1E0A1CA5A9F1496EC1256F230035EDB2,Ethische Erziehung,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
42597E4F612F4191C1256F9E00377411,Formale Ethik,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
796B00372FB987C8C1256F230035D466,Freiheit,D,s.a. Menschenwürde,,,B35CAA5B3D4E0F6FC1256F230035BEBC
657DBE83BAB0EC96C1257D380037B958,Friedensethik,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
C64FD2D2281EBED8C125776C005210BA,Funktionalismus (Philosphie),ND,s. Philosophie,,,51BB89234176DEB6C1256F230035C1CD
BAE21E741377A0A2C1256F230035B690,Gerechtigkeit,DS,"Der Begriff der Gerechtigkeit bezeichnet einen idealen Zustand des sozialen Miteinanders, in dem es einen angemessenen, unparteilichen und einforderbaren Ausgleich derInteressen und der Verteilung von Gütern und Chancen zwischen den beteiligten Personen oder Gruppen gibt. ",Ethik,,
74B424F9F029B7D5C1256F9E00376112,Gesinnungsethik,ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
9E7625D2ABA4CA52C1257DB3005B0150,Gleichheit,ND,s. Gerechtigkeit,,,BAE21E741377A0A2C1256F230035B690
BCF1D6730849A85DC1257DBE00399C2E,Goldene Regel (Ethik),ND,s. Ethik,,,D08CC9915060E81DC1256F230035B4A6
