DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
9287A913CABD5F58C1257A4B0057C72D,Ablehnung äußern,ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
FF2B0BE8E1084130C1257A5E003796BC,Adjektiv (Englisch),ND,s. Englische Grammatik,,,37636BEE97618959C1256F230035B451
0C8EEB3A71A7B8EAC1256F230035AD82,Adjektiv (Russisch),DS,Eigenschaftswort in der russischen Sprache.,Fremdsprachen,,
6C079807BB904A76C1257A64003D13CA,Adverb (Englisch),ND,s. Englische Grammatik,,,37636BEE97618959C1256F230035B451
0665638C65FA4E1EC1256F230035ADA6,"Aiken, Joan",DS,Englische Schriftstellerin (Science Fiction) (1924-2004).,Fremdsprachen,,
5ED8DB707C24BFA7C1256F230035ADC3,"Aitmatow, Tschingis",DS,"Kirgisischer Schriftsteller (1928-2008); v.a. in russischer Sprache; z.B. die Erzählungen ""Dshamilja"".",Fremdsprachen,,
C8A9B9830E7F0450C12572F900314A65,"Ajtmatow, Tschingis",ND,"s. Aitmatow, Tschingis",,,5ED8DB707C24BFA7C1256F230035ADC3
71132D13B671247EC1256F230035ADD5,"Alain-Fournier, Henri",DS,"Französischer Romancier, Literaturkritiker (1886-1914).",Fremdsprachen,,
A51833A3AE921923C1256F230035ADD9,"Albee, Edward",DS,"Amerikanischer Dramatiker, geb. 1928.",Fremdsprachen,,
AEB3D630060C910BC1256F230035ADE2,"Aldiss, Brian",DS,"Englischer Schriftsteller (Science Fiction), geb. 1925.",Fremdsprachen,,
7BECC5D544E2A70FC1257490003C021F,"Alighieri, Dante",ND,s. Dante Alighieri,,,A251AA6EED33746FC1256F230035B2D6
B6B2E8BED0E25AFFC1257A93005CACCF,Alltag,ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
925C921B4831EDF0C1257A93005CC9D6,Alltagsdialog,ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
D3D726F26359B19CC1257BD000513AFF,Alltagssituation (Afrika),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
743553291CD6ADD2C1257F8800583E8A,Alltagssituation (China),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
A86E4B0C3DC07523C1257F88005848F2,Alltagssituation (Dänemark),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
3EB438383B58FE0EC1256F230035E5E2,Alltagssituation (England),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
0D5F100B5F48AF57C1256F230035E5E3,Alltagssituation (Frankreich),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
4BD2EC5BB1793315C1257883003D8CEA,Alltagssituation (Griechenland),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
AC924A5B575FE1E7C1256F230035E5E4,Alltagssituation (Italien),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
92C0B046172C9C2EC1257F880058504D,Alltagssituation (Japan),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
5A379A9A2B8C6A53C1257883003DB76A,Alltagssituation (Kanada),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
C27BFDF8D4FDAB7FC1257C58003879BA,Alltagssituation (Lateinamerika),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
9A03BC2564CC362FC1257F880058591A,Alltagssituation (Niederlande),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
769E1DFDE3CBBEB4C1257A03003276E0,Alltagssituation (Polen),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
94E7481167D8C54AC1257F8800585FD5,Alltagssituation (Portugal),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
1E1C31579F6CC0EEC1256F230035E5E5,Alltagssituation (Russland),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
942DB774016D1F87C1256F230035E5E6,Alltagssituation (Spanien),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
0A4FCEA9DD489167C12579F60044F7EB,Alltagssituation (Sprachunterricht),D,s.a. Französische Sprache,,,914532C9D746513BC1256F230035B5C8
3095F53DC715DA3CC1257A03003243FA,Alltagssituation (Sprachunterricht),D,s.a. Polnische Sprache,,,AD49885B8FA17311C1257A0300321A9F
334EC4CA81A596C6C12579F6003EF455,Alltagssituation (Sprachunterricht),DS,"Typische alltägliche Situationen in einem Land sowie die Versprachlichung von Alltäglichem wie z.B. Telefonieren, Einkaufen, im Restaurant etc., die beim kompetenteren Erlernen der Sprache helfen (ausschließlich Medien, die dem Lernen der Sprache dienen; Sprachmedien). ",Fremdsprachen,,
43B36147EAC0FAF8C12579F600408B68,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Italienisch),,,2A3D25CF43E08D9DC1256F460037103E
48597AD640502F3DC12579F600451E01,Alltagssituation (Sprachunterricht),D,s.a. Spanische Sprache,,,30C8228675A0182AC1256F230035C623
4E306225AD34BE2FC12579F600450BD1,Alltagssituation (Sprachunterricht),D,s.a. Russische Sprache,,,149098424DDDFDB6C1256F230035C406
7406CAB23500B37AC12579F6003FA38D,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Englisch),,,15CBF3E742BDC80EC1256F230035C654
760C1D3C1440C70CC12579F600407873,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Französisch),,,F513839E8C2BAFDAC1256F230035C655
7CAB57B1115D4664C12579F60044ECEF,Alltagssituation (Sprachunterricht),D,s.a. Englische Sprache,,,2D2D33CDAD105298C1256F230035B453
7D4771BE072BA0EDC12579F6004093E4,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Lateinisch),,,6158E76B934C7F1AC1256F4600375FD4
91F32AB12F2B799EC1257A0300325825,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Polnisch),,,B5C31142EEB646B9C1257A0300323064
B2379D3270C6C696C12579F60040E2E5,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Griechisch),,,A88FDA15AA288495C12579F60040B0C8
B36D9466B6602888C1257A0300326CC0,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Sorbisch),,,D986B1AF10B965DEC1257A030030CE13
BF02C4D5E8AC9D5DC12579F60040FCA8,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Spanisch),,,A90EA3278D2798C5C1256F460037342D
C05C33314D70AF6EC12579F6004504D7,Alltagssituation (Sprachunterricht),D,s.a. Italienische Sprache,,,35DAA18B0B01F811C1256F230035B9BC
C97A35F0E62E7712C12579F600451579,Alltagssituation (Sprachunterricht),D,s.a. Sorbische Sprache,,,9282ECC837A46E96C1256F230035C607
E40B8761833AB67AC12579F60040F623,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Russisch),,,94FFC2377DCBC85DC12579F60040D058
ECA3C49FB3F3E223C12579F60044FE6D,Alltagssituation (Sprachunterricht),D,s.a. Griechische Sprache,,,AC70B20FFB505040C1256F230035B76E
0E4778B0B4944655C1257F880057B857,Alltagssituation (Sprachunterricht),D,s.a. Japanische Sprache,,,BD487A7EE206AE83C1257F880057281C
11D719529106AEA7C1257F880057F321,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Chinesisch),,,5F1AFCCDDA069831C1257F7F005F9E40
27FB47A86E7BF1F7C1257F880057A397,Alltagssituation (Sprachunterricht),D,s.a. Chinesische Sprache,,,00BAE581FD738BB8C1257F8800570194
4100B2A757CFC129C1257F880057D507,Alltagssituation (Sprachunterricht),D,s.a. Türkische Sprache,,,3D3E757F7E34AFC5C1257F88005757D5
46A01ECA0A2AD765C1257F88005801F4,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Japanisch),,,254810DDA0D6482FC1257F7F005F8C14
4B9025BF197F21DFC1257F880057FBA5,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Dänisch),,,926426259CFBC5C2C1257F7F005FD2D7
5BD4828FA281BBE4C1257F880057C433,Alltagssituation (Sprachunterricht),D,s.a. Portugiesische Sprache,,,651F3AF7024845A6C1257F8800573FCA
A41CF06B46EB0CDBC1257F880057CC9F,Alltagssituation (Sprachunterricht),D,s.a. Tschechische Sprache,,,99B7869C6FE17814C1257F8800574C73
A4E61C2B3C2BA33DC1257F880057B084,Alltagssituation (Sprachunterricht),D,s.a. Dänische Sprache,,,9C91696CAC131483C1257F8800571CD0
D69B1B7F2603889CC1257F8800581AE8,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Tschechisch),,,11D628758B9194F2C1257F7F005F1E10
D76427F862CE1F0EC1257F8800581275,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Portugiesisch),,,913B7E2FA6283F71C1257F7F005FADA2
D776147A3A32206FC1257F8800580C08,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Niederländisch),,,42A19A9B02083976C1257F7F005F36BE
E7AF3C13EAAD1B39C1257F880058224E,Alltagssituation (Sprachunterricht),D,s.a. Sprachunterricht (Türkisch),,,51AF5DF4CBF3B3D5C1257F7F005FC5A8
F029D0DC5BDBE307C1257F880057BDE8,Alltagssituation (Sprachunterricht),D,s.a. Niederländische Sprache,,,CB24319270B9CF6FC1257F880057349D
11ECB0773A549A30C1257BD000512089,Alltagssituation (Südafrika),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
89FC5E0E9FDC2004C1257F88005866B3,Alltagssituation (Tschechien),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
C7E916532CFF8691C1257F8800587716,Alltagssituation (Türkei),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
3FB737B30BD1FD16C1256F230035E5E7,Alltagssituation (USA),ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
60D273E38045D95CC12579F600452BAD,Alltagssituation (USA),ND,s. Sprachunterricht (Englisch),,,15CBF3E742BDC80EC1256F230035C654
5F376DE4BA776A42C1257A93005E7009,Alltagssprache,ND,s. Alltagssituation (Sprachunterricht),,,334EC4CA81A596C6C12579F6003EF455
