DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
E6BDAAF949934BA5C1257A3B00383E5B,1492,ND,s. Amerika,,,CFC4ECC699526AB1C1256F230035AE0F
6D5E679C9203C3ECC1257A3E0053FAB6,"1945, 6. August",ND,s. Hiroshima,,,FDC1DB20118C7740C1256F230035B89C
783421684CAEF451C1257A4000536C1A,"1990, 3. Oktober",ND,s. Bundesrepublik Deutschland (nach 3.10.90),,,16721A49793B99F1C1256F230035B1BE
3C61476ECDDD9422C1257A4000563F17,3. Oktober,ND,s. Bundesrepublik Deutschland (nach 3.10.90),,,16721A49793B99F1C1256F230035B1BE
2306FB19D0B2C937C1257A4000537B66,3. Oktober 1990,ND,s. Bundesrepublik Deutschland (nach 3.10.90),,,16721A49793B99F1C1256F230035B1BE
82426A1E1600C613C1257A3E005404A8,6. August 1945,ND,s. Hiroshima,,,FDC1DB20118C7740C1256F230035B89C
8386A3C720C100D2C1257A4200433E18,Aachen,DS,"Aachen, eigentlich Bad Aachen, ist eine kreisfreie Stadt und Kurstadt im nordrhein-westfälischen Regierungsbezirk Köln, Mitglied des Landschaftsverbandes Rheinland und gehört nach dem Aachen-Gesetz mit Wirkung vom 21. Oktober 2009 als kreisfreie Stadt zur Städteregion Aachen. 1890 überschritt Aachen erstmals die Einwohnerzahl von 100.000 und ist seitdem die westlichste deutsche Großstadt. Es zählt heute zu den Verdichtungsräumen Nordrhein-Westfalens mit mehr als 250.000 Einwohnern. Die Stadt ist bekannt für ihre bis in die Jungsteinzeit zurückreichende Geschichte und ihr damit verbundenes kulturelles und architektonisches Erbe. Darüber hinaus richtet Aachen jährlich das internationale Pferdesportturnier CHIO aus und verleiht überdies den internationalen Karlspreis.",Geographie,,
04AC5DD1F7479A42C1257A420043C4F3,Aachener Dom,ND,s. Aachen,,,8386A3C720C100D2C1257A4200433E18
F8E3E3640CD0DE32C1257A420043B836,Aachener Königspfalz,ND,s. Aachen,,,8386A3C720C100D2C1257A4200433E18
3E6DE0DDCC03FFC4C1257A420043B121,Aachener Pfalz,ND,s. Aachen,,,8386A3C720C100D2C1257A4200433E18
33A41D14A2CC8C00C1256F230035AC4A,Aachhöhle,DS,Karsthöhle im Hegau bei Aach.,Geographie,,
671BF4F17DC3E33DC12576C600565622,Aachtopf,ND,s. Aachhöhle,,,33A41D14A2CC8C00C1256F230035AC4A
F07D4543DD9ABACBC1257A420044285F,Aalborg,ND,s. Dänemark,,,B2547A9E127FECD9C1256F230035B2D1
7B592A15B0CA88C4C1256F230035AC6B,Aalen,DS,Große Kreisstadt im Ostalbkreis in Baden-Württemberg.,Geographie,,
3E8B43676EC2C0F9C125726D00361448,Aargau (Kanton),ND,s. Schweiz,,,A6D89F434935ADA5C1256F230035C539
781A33F8AC2934E6C1256F230035E511,Abbautechnik,ND,s. Bergbau,,,F849B33A868682A6C1256F230035B027
04C1DE4A638CDF4CC1256F230035E512,Abblasung,ND,s. Erosion,,,654EE2635F9189B2C1256F230035B490
9B63D60CF6845880C12572F8002B5B48,Abendland,ND,s. Europa,,,ACBADB77436A23D1C1256F230035B4B3
D062C033A52DC0ECC1257A44005D12C1,Aberdeen,ND,s. Schottland,,,ECF4AD1C1195F49AC1256F230035C4E4
B8E09A0320252E0DC1256F230035E51B,Abessinien,ND,s. Äthiopien,,,A3BFA617539E1DFBC1256F230035AECF
A39355EE3D54AE20C1256F230035E530,Abholzung,ND,s. Rodung,,,60EC7E684DAC6337C1256F230035C3B3
C579962C439E5C5AC1257A460054F9CE,Abidjan,ND,s. Elfenbeinküste,,,FF5BA14F5DE6214DC1256F230035B428
