DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
4A31E18465EA4795C1257A4000549240,1. Mai,ND,s. Arbeiterbewegung,,,656FD671F1CEE164C1256F230035AE8C
A63B73278AA65759C1257A38005F058F,1066,ND,s. Normannen,,,4857B601C8B3D2C3C1256F230035FBBE
F1EF5943C6222040C1257A3B003565C5,1098,ND,s. Kreuzzug,,,43FAD5227CA678D0C1256F230035BBF7
DEC2273E9429DE88C1257A3B0035A36C,1099,ND,s. Kreuzzug,,,43FAD5227CA678D0C1256F230035BBF7
D60A17A6008AE6DDC1257A3B00368B5B,11. September,ND,s. Elfter September,,,6753EA489FF6770FC1257A3B003660AD
13C488A1AA5B2F95C1257A3E005609D6,13. August 1961,ND,s. Berliner Mauer,,,9F26467CB274169CC1256F230035B041
1C4258F67BD8CB8DC1257A3C0046D813,13. Februar 1945,ND,s. Zweiter Weltkrieg,,,CD6461B8C2361429C1256F230035CC72
7C1F605A80F4DD3DC1257A3B00385F96,1525,ND,s. Bauernkrieg,,,0EA334EB940DC742C1256F230035AFBF
EDBA52B749773990C1257A3B00390AF9,1618,ND,s. Dreißigjähriger Krieg,,,4A067FDCE5F28A55C1256F230035B39E
96936F682562F90BC1257A3B00392456,1631,ND,s. Dreißigjähriger Krieg,,,4A067FDCE5F28A55C1256F230035B39E
A513007E3738AC1BC1257A3B003933CD,1634,ND,s. Dreißigjähriger Krieg,,,4A067FDCE5F28A55C1256F230035B39E
69DFC0147E18A30EC1257A3B003942C2,1648,ND,s. Dreißigjähriger Krieg,,,4A067FDCE5F28A55C1256F230035B39E
548E61FD6F255EDDC1257A3E00559D54,17. Juni 1953,ND,s. Siebzehnter Juni,,,40AB78F2F898A73DC1256F230035C5A9
8FB67A43A157FBF5C1257A3B00397BA0,1776,ND,s. USA (Landesgeschichte),,,D576E4F9D5BE0E11C1256F230035C900
0E9D2E2E4863B6F2C1257A3B0039B71E,1811,ND,s. Bauernbefreiung,,,E7F01D60130430C4C1256F230035AFBC
F484E209F95575A6C1257A3B0039D90F,1815,ND,s. Wiener Kongress,,,17449B2795508DDDC1256F230035CB34
7E2731291B2D0B7BC1257A3B0039F75A,1832,ND,s. Hambacher Fest,,,3CCC7BB2B7A022BBC1256F230035B7DD
0F87B927E42A97B2C1257A3B003A329D,1848,ND,s. Deutsche Revolution (1848),,,B54B3753C8737C27C1256F230035B330
96112AFE71C2D6E4C1257A3B003A2C92,1848,ND,s. Revolution (1848),,,387D1453EF8F9D09C1256F230035C368
1C656A9639CCEF24C1257A3B003A7D74,1871,ND,s. Deutsches Reich (1871-1918),,,7BF1C05E800CB35FC1256F230035B335
4194CE45319459ECC1257A3C0041F3D8,1914,ND,s. Erster Weltkrieg,,,8EC72DA04D5E5AA1C1256F230035B495
22B0F81A03708DC3C1257A3C00421E5C,1917,ND,s. Erster Weltkrieg,,,8EC72DA04D5E5AA1C1256F230035B495
1E3C13B75CC55060C1257A3C00424D58,1918,ND,s. Erster Weltkrieg,,,8EC72DA04D5E5AA1C1256F230035B495
D88C6CEF669B2122C1257A3C00425E37,1918,ND,s. Weimarer Republik (1918/19-33),,,93BC9C664D1BC8B4C1256F230035CABC
ECA9F50D0FAAFCEAC1257A3C00425444,1918,ND,s. Deutsches Reich (1871-1918),,,7BF1C05E800CB35FC1256F230035B335
F1AB0F917CD5204EC1257A3C00426C02,1918,ND,s. Novemberrevolution,,,B36C68AA3AAB97A2C1256F230035C09F
385BA34DD94D9510C1257A3C004281A7,"1918, 9. November",ND,s. Novemberrevolution,,,B36C68AA3AAB97A2C1256F230035C09F
D34B77139F281593C1257A3C0042D66E,1919,ND,s. Weimarer Republik (1918/19-33),,,93BC9C664D1BC8B4C1256F230035CABC
DB5F9BA43BD12439C1257A3C0042C74C,1919,ND,s. Novemberrevolution,,,B36C68AA3AAB97A2C1256F230035C09F
3802388DC9E817AEC1257A3C0043150E,1923,ND,s. Nationalsozialismus,,,12B90907E24A9D56C1256F230035C017
445752FE939117EBC1257A3C00430E01,1923,ND,"s. Hitler, Adolf",,,F3D6E1120F8D73E8C1256F230035B8A6
C9ECC5967A21B46EC1257A3C004306EC,1923,ND,s. Weimarer Republik (1918/19-33),,,93BC9C664D1BC8B4C1256F230035CABC
4FE0149F97DFD7B0C1257A3C00432FF9,1930,ND,s. Weimarer Republik (1918/19-33),,,93BC9C664D1BC8B4C1256F230035CABC
4BE88BFE51849A1AC1257A3C00436974,1933,ND,s. Drittes Reich (1933-45),,,7B666A63A047A380C1256F230035B3A4
6B284D8BCE7E7617C1257A3C00435FCA,1933,ND,s. Nationalsozialismus,,,12B90907E24A9D56C1256F230035C017
E3B6502533FB20C0C1257A3C004352B3,1933,ND,s. Weimarer Republik (1918/19-33),,,93BC9C664D1BC8B4C1256F230035CABC
E9767FD5BBAFAFB1C1257A3C0043583F,1933,ND,"s. Hitler, Adolf",,,F3D6E1120F8D73E8C1256F230035B8A6
5974E100D7C44AABC1257A3C0043964F,"1933, 5. März",ND,s. Ermächtigungsgesetz,,,29F908DAF2353821C1256F230035B486
2F03BD191EC936FFC1257A3C0043DE29,"1934, 30. Juni",ND,"s. Röhm, Ernst",,,BDE1659BF5C97E5DC1256F230035C3B5
09FC1A4A4E310487C1257A3C0044658C,1935,ND,s. Saarabstimmung 1935,,,92ADC0C945ECE022C1257A3C004437D0
45DD63CC677AA206C1257A3C0044117C,1935,ND,s. Nationalsozialismus,,,12B90907E24A9D56C1256F230035C017
3FA8ED19543768A3C1257A3C0045C274,"1938, 9. November",ND,s. Reichskristallnacht,,,D8C080C0841AEB26C1256F230035C304
1DF5C6EE3D84092CC1257A3C004631A9,1942,ND,s. Zweiter Weltkrieg,,,CD6461B8C2361429C1256F230035CC72
