DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
C65FDCA57763AF10C1257EDE0054E5C0,5p-Syndrom,ND,s. Erbkrankheit,,,E783EA8E5010BB80C1256F230035B46B
41902FA05CAFA942C1256F230035E50F,AAR,ND,s. Immunreaktion,,,C158FF9E90131D8DC1256F230035B947
C55229E06804A599C1256F230035E53B,Abort,ND,s. Fehlgeburt,,,8C06CEA00A66B35AC1256F230035B512
7428153DBE4E906DC1258371005EA164,Abort,ND,s. Toilette,,,F12BDBD887E32258C1258371005E545E
D37608BABFF6DDB4C12576CD004E4776,Abrasion (Medizin),ND,s. Medizin (Heilkunde),,,C721C108577B01A2C1256F230035BE94
480716442AEE115DC12572F8002EC1CE,Abstillen,ND,s. Stillen,,,82960F7488B907BBC1256F230035C6BF
E2B9DA45796D3C8CC12572F8002F1482,Abstoßungsreaktion,ND,s. Organspende,,,712F1863F5F60326C1256F230035C0FF
2DE4AE7253B9FA5FC1256F230035AD70,Abtreibung,DS,"Vorzeitige, künstliche Unterbrechung der Schwangerschaft. Alle Zusammenhänge inklusive Gesetze, Mittel und menschlichen Interaktionen.",Gesundheit,,
49D4F588DE64D65DC1257A53005E4FC0,Abtreibungsgesetz,ND,s. Abtreibung,,,2DE4AE7253B9FA5FC1256F230035AD70
ED40FC11CE83B328C12572F8002FE538,Abwehrmechanismen,ND,s. Psychoanalyse,,,C424ECB1FD645EDFC1256F230035C271
19236D14D2A1ED60C1257CA300591AAA,Acetat,ND,s. Essig,,,D1936959A4128827C1257CA30058C919
4C049704FA855443C12572F800307155,Acetylsalicylsäure,ND,s. Arzneimittel,,,E99A7E48D570710EC1256F230035AEB9
C182F1C7F27D6E2CC1257A5D005890A8,ADA-Mangel,ND,s. Erbkrankheit,,,E783EA8E5010BB80C1256F230035B46B
D02C3CFE6CCD12A3C1257A5E00373B28,Aderlass,ND,s. Medizin (Heilkunde),,,C721C108577B01A2C1256F230035BE94
9830A78661FB4AEEC12572F700351EDE,ADHS,ND,s. ADS (Psychologie),,,8D5351A090104EC5C12572F70034781F
519E9F3C65E8CE7BC1257A5E003761CD,Adipositas,ND,s. Übergewicht,,,38121FC922461F86C1256F230035C89F
EE4B73E5D392E772C1257A61005DF57D,"Adler, Alfred",ND,s. Psychologie,,,B3D77FFC779D129CC1256F230035C273
8D5351A090104EC5C12572F70034781F,ADS (Psychologie),DS,"Die Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung (ADHS) (auch als Aufmerksamkeitsdefizit-/Hyperaktivitätssyndrom oder Hyperkinetische Störung (HKS) bezeichnet) ist eine bereits im Kindesalter beginnende psychische Störung, die sich primär durch leichte Ablenkbarkeit und geringes Durchhaltevermögen, sowie ein leicht aufbrausendes Wesen mit der Neigung zum Handeln ohne nachzudenken, häufig auch in Kombination mit Hyperaktivität (ADHS), auszeichnet. Etwa 3-10% aller Kinder zeigen Symptome im Sinne einer ADHS. Jungen werden deutlich häufiger diagnostiziert als Mädchen. Die Symptome können mit unterschiedlicher Ausprägung bis in das Erwachsenenalter hinein fortbestehen.",Gesundheit,,
CA82BFA35120CA14C1256F230035E588,ADSH,ND,s. ADS (Psychologie),,,8D5351A090104EC5C12572F70034781F
