DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
7E9F860DCE10865CC1256F230035E517,Abenteuerspiel (Computerspiel),ND,s. Computerspiel (Spielgeschichte),,,04F95E6D63D3A268C1256F230035C637
7C68F90E5197FD7EC12583DF005C0687,Abofalle,DS,"Abofalle (auch Internetkostenfalle oder Kostenfalle im Internet) bezeichnet umgangssprachlich eine weit verbreitete unseriöse Geschäftspraktik im Internet, bei der Verbraucher unbeabsichtigt ein kostenpflichtiges Abonnement eingehen. Es handelt sich dabei um Internetangebote, die so trickreich gestaltet sind, dass deren Kostenpflicht für Verbraucher nicht ohne weiteres erkennbar ist. Manchmal werden auch die Seiten seriöser Anbieter imitiert.",Informationstechnische Bildung,,
4B0FEAFA85C61792C12583DF005C54C0,Abofallen,ND,s. Abofalle,,,7C68F90E5197FD7EC12583DF005C0687
F5EC6A08954C92DBC1257A61005F2F00,Adressierung (Datenverarbeitung),ND,s. Datenverarbeitung,,,6B220FD016BC00FDC1256F230035B2E3
1FBE53E7EC2CEE32C1257A64003CED7B,Adventure-Game,ND,s. Computerspiel (Spielgeschichte),,,04F95E6D63D3A268C1256F230035C637
C647D74548A18E57C1257A7A003ACAAE,Aggregation (Informatik),ND,s. Informatik,,,2B6F2340682523AFC1256F230035B967
914EFB5BA6247663C1257AAC003BC943,Analoge Übertragungstechnik,ND,s. Datenfernübertragung,,,39D43DAF3FCBD75DC1256F230035B2E0
676B6B9E44C48F29C1256F230035E65B,Angewandte Informatik,ND,s. Computereinsatz,,,87B08C96FD90890DC1256F230035B28A
9EDCC934C953ADEEC12570150031D020,Angewandte Informatik,ND,s. Informatik,,,2B6F2340682523AFC1256F230035B967
07236EE6E28056CFC1257ABD0063FD84,Anrufsucher,ND,s. Telekommunikation,,,2CEDD88AE1B7DC25C1256F230035C794
21319539134E45EFC1257AC400640F93,Antennentechnik,ND,s. Telekommunikation,,,2CEDD88AE1B7DC25C1256F230035C794
880B25FAC4719898C1257999005C8387,Antivirenprogramm,ND,s. Computervirus,,,2AD8B666316651E5C1256F230035B291
067AEEF3D7D08AF9C1257563005078EA,Anwendersystem,D,s.a. Overlay,,,C2E40E04B56484D9C1256F230035C128
0F00EDE5D0AA5D7EC1256F230035CD6E,Anwendersystem,D,s.a. Computer Aided Manufacturing,,,1849C0FCCA61C5B3C1256F230035B288
11C069F4078E9D4CC1256F230035CD72,Anwendersystem,D,s.a. Desktop-Publishing,,,1CD5B82B2D97B363C1256F230035B31B
1A05452F788A5D8CC1257563005066B1,Anwendersystem,D,s.a. EAN-System,,,F0E6673BF484456AC1256F230035B3CE
289AC936667A380BC1256F230035CD6B,Anwendersystem,D,s.a. Datenbank,,,42DE8D9BAA1BD24FC1256F230035B2DF
74359818D78B77B5C1256F230035CD70,Anwendersystem,D,s.a. Computerized Numerical Control,,,9223237A53414A5BC1256F230035B28C
95C905EBDD680329C1256F230035CD71,Anwendersystem,D,s.a. Computergrafik,,,01692810A8CD41CFC1256F230035B28B
B0E856203FCD02CCC1256F230035CD69,Anwendersystem,D,s.a. Textverarbeitung,,,C75A3E163EB55404C1256F230035C7C8
CCFC9FEC3CD44DADC1256F230035AE43,Anwendersystem,DS,"Kennzeichen der Werkzeuge ist, dass der Benutzer den Zweck des Computers im Rahmen eines gegebenen Problems selber bestimmt. Beispiele: Textverarbeitung, Datenbank, Tabellenkalkulation, Grafikprogramme, Informationsbeschaffung.",Informationstechnische Bildung,,
DC8835D674E7AAB1C1256F230035CD6D,Anwendersystem,D,s.a. Computer Aided Design,,,84B2B0814DBE0AEAC1256F230035B287
F6D27A98258744B3C125756300507055,Anwendersystem,D,s.a. Grafikprogramm,,,3538E761924D3352C1256F230035B754
1E62F357C03BB927C12581BD0057B2E0,Anwendungssoftware,ND,s. Software,,,412292943327DEFCC1256F230035C5F1
