DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
8574FB3DAE35CF4EC1257A40005793F6,50 Jahre Erklärung der Menschenrechte,ND,s. Menschenrechte,,,923CAC86D80EDF6FC1256F230035BEBB
9397D83F52F3EA0CC1256F230035E52D,Abhängigkeit (Mensch),ND,s. Hörigkeit,,,AFF69A94D42951C9C1256F230035B8F7
4FEA1329B315AF76C1256F230035E532,Abitur,ND,s. Schulabschluss,,,A66E75DF8CB9A401C1256F230035C4FC
18BD4F4276106AB8C1257A4D00578BD8,Ablösungsprozess,ND,s. Vater-Tochter-Beziehung,,,B6C9CE56D090CD0BC1256F230035C91A
872C96FD16D4117BC1257A4D00577FA2,Ablösungsprozess,ND,s. Eltern-Kind-Beziehung,,,C9E8D5A5741E024CC1256F230035B437
D884AB412F510A4CC1257A4D005776C7,Ablösungsprozess,ND,s. Erwachsenwerden,,,2C1E433A46E13297C1256F230035B496
E36A6D1CAD2BAAA8C1257A4D00578524,Ablösungsprozess,ND,s. Vater-Sohn-Beziehung,,,ABCC3253512D3B4AC1256F230035C919
E3F09DCE623614D2C1257A4D005790AA,Ablösungsprozess,ND,s. Mutter-Sohn-Beziehung,,,CC5DF31062BF02A1C1256F230035BFE1
FDBA47757DBC3A91C1257A4D0057952E,Ablösungsprozess,ND,s. Mutter-Tochter-Beziehung,,,F33ED76ACC31C350C1256F230035BFE2
06848052C98A9237C1257A4E0051CD5D,Abschied (Tod),ND,s. Tod,,,977322365C4E6A0EC1256F230035C812
DE6BA0D768FD8CB0C1257A4E0051D473,Abschied (Tod),ND,s. Sterbebegleitung,,,3B62BA5F71E19926C12572B10025F6FF
B0E2D32E9BD44C90C1257A4E0051F3A9,Abschied (zwischenmenschliche Beziehung),ND,s. Trennung,,,DAF63873E010CFECC1256F230035C856
03F5A842D4B8DB87C1256F230035E53F,Abschlusszeugnis,ND,s. Schulabschluss,,,A66E75DF8CB9A401C1256F230035C4FC
0FB65BDDA71BA512C1256F230035E544,Absolute Armut,ND,s. Armut,,,C456A9E685823EDEC1256F230035AEAA
85EB1CD2A131B0D1C1257F8D0054B262,Abstammung,ND,s. Genealogie,,,7420B0DFB282FBE5C1257F8D005432E7
B59827BEDD037A77C1258363005D701A,Abwärtsspirale,ND,s. Teufelskreis,,,7B2B884F7D828C43C1258363005D48B9
78E6E3A7F7129819C1256F230035E557,Abweichendes Verhalten,ND,s. Verhaltensstörung,,,FA2B88C97574C560C1256F230035C957
0667BAB99029F654C1256F230035E576,ADHS,ND,s. Verhaltensstörung,,,FA2B88C97574C560C1256F230035C957
E65BCB5892CC7CBEC1256F230035E580,Adoptiertes Kind,ND,s. Adoption,,,DC58E66E02CCFD87C1256F230035AD85
8EF694745FBEC8EEC1256F230035CCAE,Adoption,D,s.a. Eltern,,,B360EB3E56D7F2FDC1256F230035B436
DC58E66E02CCFD87C1256F230035AD85,Adoption,DS,Die Begründung eines Eltern-Kind-Verhältnisses ohne Rücksicht auf die biologische Abstammung; Annahme eines Kindes.,Leben,,
38DA345ACF666EBBC1256F230035E581,Adoptiveltern,ND,s. Adoption,,,DC58E66E02CCFD87C1256F230035AD85
CA831C0252C7187FC1256F230035E582,Adoptivkind,ND,s. Adoption,,,DC58E66E02CCFD87C1256F230035AD85
7AFD455A1AD83050C1256F230035E584,ADS (Psychologie),D,s.a. Verhaltensstörung,,,FA2B88C97574C560C1256F230035C957
CC86AD7C206B2DD9C1256F230035E585,ADS (Psychologie),D,s.a. Kindliches Verhalten,,,37B70761E1A5F228C1256F230035BB00
67B127E2F5122E86C1256F230035E607,Ältere Person,ND,s. Alter,,,490F561AE3FABBC3C1256F230035AE00
0F473392EC6659F8C1256F230035E61C,Älterwerden,ND,s. Alter,,,490F561AE3FABBC3C1256F230035AE00
3768677FC549C62BC1257A64003F9B9A,Ängstlichkeit,ND,s. Angst,,,D06D7395D1F5A79BC1256F230035AE2E
DF884D5836E2380CC1257A660037B33D,Ärger,ND,s. Konflikt,,,1EC816340EF2EEE4C1256F230035BB87
29A9EFC6F6833289C1256F230035E58E,Affektive Entwicklung,ND,s. Identitätsfindung,,,4F3BAA7782DC0C71C1256F230035B936
44808B1B261FD6ADC1256F230035E58F,Affektivität,ND,s. Gefühl,,,155F56F55CCCCC5DC1256F230035B663
4666F5CD94F83213C1257A780053623F,Afrikanische Frau,ND,s. Lebensbedingung (Afrika),,,C67CC17B7426FCA1C12582F3005DBB12
F31F35221EAA81ACC1257478003A1268,Agenda 21,ND,s. Ehrenamt,,,33BE3657EA67ADFEC12574780037811B
D751DE303A0B98F7C1257A7A003B2FAC,Aggresionstheorie,ND,s. Aggression,,,10956064EBFC2842C1256F230035AD8F
10956064EBFC2842C1256F230035AD8F,Aggression,DS,"Jedes, insbesondere das affektbedingte Angriffsverhalten des Menschen, das auf einen Machtzuwachs des Angreifers und eine Machtminderung des Angegriffenen zielt.",Leben,,
FF8347550F96CFE4C1256F230035E597,Aggressivität,ND,s. Aggression,,,10956064EBFC2842C1256F230035AD8F
5E69449A68DC35AFC1257F8D0054FA10,Ahnenforschung,ND,s. Genealogie,,,7420B0DFB282FBE5C1257F8D005432E7
AA9FF2C06E730B49C12572F900341E73,Aktion Mensch,ND,s. Behindertenintegration,,,69F49E98A7BB2ED4C1256F230035AFFF
E6D1CB25635CA046C12572F90034255B,Aktion Sorgenkind,ND,s. Behindertenintegration,,,69F49E98A7BB2ED4C1256F230035AFFF
3AA62718C12EFFB6C1257A80004D7062,Aktivationstheorie,ND,s. Lernen,,,0ED2CB3774B271A0C1256F230035BD30
0B6DF6EECA0C9D1DC12572B100261B3B,Aktive Sterbehilfe,ND,s. Sterbehilfe,,,70F095E012E1C139C1256F230035C6A6
F390BFB964B02C92C1257A9F00593F72,Albtraum,ND,s. Traum,,,A7FD4182AAB3BFA9C1256F230035C850
FBD965BE685E6CA7C1257A9F005937C6,Albtraum,ND,s. Angst,,,D06D7395D1F5A79BC1256F230035AE2E
29761265BFF72FE1C1256F230035CCD1,Alleinerziehender,D,s.a. Familie (Verwandtschaft),,,ACE0679A3BE252BCC1256F230035B4F0
81E6C72B1228629FC1256F230035ADF0,Alleinerziehender,DS,"Ein Elternteil, der tätsächlich allein für ein Kind sorgt; unabhängig davon, wem das Personensorgerecht (elterliche Sorge) zusteht; als Lebensform (Familie, in der ein Elternteil mit Kind(ern) zusammenlebt) als Eineltern-Familie bezeichnet.",Leben,,
CD05763AB3972D11C12583370062BC39,Alleinerziehender,D,s.a. Alleinstehender,,,74874B49F24B3373C125833700627914
9C670A255FC1CC6FC1257A86005F3B07,Alleinsein,ND,s. Einsamkeit,,,44BDBAC072782AA2C1256F230035B3F7
