DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
832C4F4C3CF388F6C1257A4200462E07,Abakus,ND,s. Grundrechenart,,,B6E5D9CE626321CAC1256F230035B789
4D514208DFDABE40C12576CA005427CF,Abbildung (lineare),ND,s. Achsensymmetrie,,,D12E4C1DC6AC9DAAC1256F230035AD74
E9547CF6B621F3F1C12576CA005430C0,Abbildung (lineare),ND,s. Funktion (Mathematik),,,0525087963CC9950C1256F230035B61A
8094A09FA51DF206C1256F230035AC7F,Abbildung (Mathematik),ND,s. Funktion (Mathematik),,,0525087963CC9950C1256F230035B61A
60E17202BAA8A4A5C1257A44005BAD0E,Abbildungsgeometrie,ND,s. Symmetrie,,,EB2C98FA9245AC68C1256F230035C744
BEF3503F7EDEE1F6C1257A44005B9F13,Abbildungsgeometrie,ND,s. Geometrie,,,8CAA8C0CA2175AA4C1256F230035B685
CA4A4E99CBCB8523C1257A4E0054A9EA,Absorptionsgesetz,ND,s. Algebra,,,461C385BA2C6AE0CC1256F230035ADE7
7E3996A99C5A7B08C12572F8002F418B,Abszisse,ND,s. Koordinate,,,DD7F332334074699C1256F230035BBA6
8BFB29F5027C58FDC1257A560057621D,Abweichung,ND,s. Wahrscheinlichkeit (Mathematik),,,332421FCDED604B2C1256F230035CA2F
3FD0500C5AF6FEF0C1257A56005811CF,Abwicklung,ND,s. Geometrie,,,8CAA8C0CA2175AA4C1256F230035B685
4DD90545736B166EC12572F80030C1EE,Achse (Symmetrie),ND,s. Symmetrie,,,EB2C98FA9245AC68C1256F230035C744
96577FCA460487C7C12572F80030D374,Achse (Symmetrie),ND,s. Achsensymmetrie,,,D12E4C1DC6AC9DAAC1256F230035AD74
8770A11AC59B6F87C1256F230035E56C,Achsenspiegelung,ND,s. Achsensymmetrie,,,D12E4C1DC6AC9DAAC1256F230035AD74
D12E4C1DC6AC9DAAC1256F230035AD74,Achsensymmetrie,DS,"In der Geometrie Bezeichnung für die Eigenschaft eines ebenen oder räumlichen, ggf. aus mehreren Figuren oder Körpern zusammengesetzten Gebildes, so geformt zu sein, dass es durch eine bestimmte geometrische Bewegung in sich selbst übergeht.",Mathematik,,
4C99DA2250C2C97FC1256F230035E572,Addition,ND,s. Grundrechenart,,,B6E5D9CE626321CAC1256F230035B789
4D0DAD435870990EC1257A5D005B62CB,Addition von Brüchen,ND,s. Bruchrechnung,,,3AD0D99F6B6B6FADC1256F230035B188
76D02B83DF282654C1257A5D005B7EC1,Addition von Dezimalzahlen,ND,s. Grundrechenart,,,B6E5D9CE626321CAC1256F230035B789
D8A3274FE5382F7DC1257A5E00368D2C,Additive Verknüpfung,ND,s. Algebra,,,461C385BA2C6AE0CC1256F230035ADE7
AF0DFF0E5A0B7EA0C1257A5E0036A1F1,Additive Zahlengleichung,ND,s. Grundrechenart,,,B6E5D9CE626321CAC1256F230035B789
33E95932BDF6B23CC1257A5E0036C03D,Additive Zerlegung,ND,s. Grundrechenart,,,B6E5D9CE626321CAC1256F230035B789
E10930D2E74F737FC1257A5E0037AC24,Adjunktion,ND,s. Algebra,,,461C385BA2C6AE0CC1256F230035ADE7
EE5AADC068E84C45C1257A660036AC8B,Äquatoriales Koordinatensystem,ND,s. Koordinate,,,DD7F332334074699C1256F230035BBA6
B414E1173BC63728C1257A6600366889,Äquatorsystem,ND,s. Koordinate,,,DD7F332334074699C1256F230035BBA6
