DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
29098DD6C1EDBF3CC12581E900518311,2Pac,ND,"s. Shakur, Tupac",,,7F6DE3697A5B92CEC12581E900513B1E
E5C1547E223571A5C12572F800300DC8,A Cappella,ND,s. Chor (Musik),,,9373A70197B26CCBC1256F230035B253
9168E1354DF52904C125789600368B9B,"Abreu, José Antonio",DS,"Venezolanischer Komponist, Ökonom, Politiker, Erzieher, Aktivist und Gründer des größten musikalischen Projektes in Venezuela; geb. 1939.",Musik,,
D8906AB120566516C1256F230035AD7B,"Adam, Adolphe",DS,Französischer Opernkomponist (1803-56).,Musik,,
0A97772A2D60B380C1256F230035E571,"Adam, Adolphe Charles",ND,"s. Adam, Adolphe",,,D8906AB120566516C1256F230035AD7B
0FA924D4DE0B5B3AC1256F230035AD7C,"Adams, John",DS,Amerikanischer Komponist; geb. 1947.,Musik,,
EC241E3DF7D6C57BC1257A5D005B1484,"Adderley, Cannonball",ND,s. Jazz,,,4DAD35B74975459AC1256F230035B9EE
685AB3493AF4CDF6C1256F230035AD7D,"Addinsell, Richard",DS,Englischer Komponist (1904-77).,Musik,,
873AAE25BC4097B8C1257A7800541728,Afrikanisches Musikinstrument,ND,s. Musikinstrument,,,C5777E03CD7F2292C1256F230035BFD0
6BA60B2E9BA6E3FEC1257F5A005E4E59,Akkord (Musik),ND,s. Musiktheorie,,,90E4A2A76FF28E70C1257F5A005CFA52
5CD46218EE142831C1256F230035E5B2,Akkordeon,ND,s. Tasteninstrument,,,A0B8DF0B1EEED8A8C1256F230035C773
7CDB20C91E873739C1256F230035E5BA,Akustik,ND,s. Schall,,,8FFA78B8503A06C4C1256F230035C471
F3EE2540D3D03DFCC1256F230035ADDA,"Albeniz, Isaak",DS,Spanischer Pianist und Komponist (1860-1909).,Musik,,
EFDC08C9C64E0978C1256F230035ADDF,"Albinoni, Tommaso",DS,Italienischer Komponist und Violinist (1971-1750).,Musik,,
9C3D82CCC4F005FCC1256F230035ADE3,Aleatorik,DS,"Kompositionsart, die sich aus der seriellen Musik entwickelte und zugleich deren genauer Gegensatz ist.",Musik,,
