DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
07ED0ED088048AA8C1257A4000561A18,3-D-Messmaschine,ND,s. Messtechnik,,,F972C95F3A947B9BC1256F230035BED1
CA817FF622050350C1257608005455BE,"Abbe, Ernst",DS,"Deutscher Physiker, Optiker, Unternehmer und Sozialreformer (1840-1905).",Physik,,
FAE99BBED41DDEE5C125760800547185,"Abbe, Ernst Carl",ND,"s. Abbe, Ernst",,,CA817FF622050350C1257608005455BE
48284195061DA960C12572F8002A4190,Abbildung (Optik),ND,s. Optik,,,8C21C948CE013FFFC1256F230035C0F0
AF96236866DC48A5C1256F230035AC96,Abbildungsfehler,DS,"Aberration, bei optischen Systemen Abweichung von der fehlerfreien optischen Abbildung, die bewirkt, dass Objektpunkte im Bild nicht ideal punktförmig wiedergegeben werden. Z.B. Astigmatismus, Bildfeldwölbung, Farbabweichung.",Physik,,
35B94AE58B7E815EC12572F8002A983B,ABC-Waffe,ND,s. Kernwaffe,,,ABD8B8F8636A7AACC1256F230035BADB
9B8C1D8F6FEC9083C1256F230035E514,Abendstern,ND,s. Venus (Planet),,,054B065B4F0CCCB0C1256F230035C933
BF521CA040970246C1256F230035E51A,Aberration,ND,s. Abbildungsfehler,,,AF96236866DC48A5C1256F230035AC96
D7419F56C847BFB8C1257A4B00584043,Ablenkung (Physik),ND,s. Physik,,,76982DFB4F1ABF43C1256F230035C1D1
F687C39389156035C1257A4B005878A9,Ablesewert,ND,s. Messtechnik,,,F972C95F3A947B9BC1256F230035BED1
E31ADE845BC33D55C1257A4B00596BE1,Ablösefrequenz,ND,s. Photoeffekt,,,E34A941DA045230EC1257A4B00591E4B
4F12D16B0E03B740C1257A4E00525F71,Abschirmung (Strahlung),ND,s. Kernkraftwerk,,,BD603F5AC4F23652C1256F230035BAD7
F72DC0D6CE0C751DC12572F8002E6815,Absoluter Nullpunkt,ND,s. Temperatur (allgemein),,,9E3D4ABA9BFE1A03C1256F230035C799
97D800CB22DD74CDC1257E8A00539694,Absolutsystem,ND,s. Inertialsystem,,,24F062080DB60856C1257E8A00536D61
8C01B900F60F911BC1257A4E0053D0DF,Absorber,ND,s. Solartechnik,,,DE1CA7323FBA58ADC1256F230035C5F4
2365ADD055A35BAFC1257AC10054501E,Absorption (Optik),ND,s. Welle (Physik),,,408BD3CEC987B69DC1256F230035CAD0
466F147EA664099DC1257AC1005445C2,Absorption (Optik),ND,s. Optik,,,8C21C948CE013FFFC1256F230035C0F0
E51B609FF8B05376C1257AC10054545C,Absorption (Optik),ND,s. Strahlung (allgemein),,,BBA421BEFBD3C167C1256F230035C6E1
99461D549A9EAEB7C1257AC100545A76,Absorption (Physik),ND,s. Strahlung (allgemein),,,BBA421BEFBD3C167C1256F230035C6E1
BD5EEBE43A6C3C7AC1257AC100543ACE,Absorption (Physik),ND,s. Welle (Physik),,,408BD3CEC987B69DC1256F230035CAD0
DBB58BE7837C8422C1257AC1005415F1,Absorption (Physik),ND,s. Physik,,,76982DFB4F1ABF43C1256F230035C1D1
7DB79E773258FB41C1256F230035E546,Absorptionsspektrum,ND,s. Spektrum (Physik),,,259F49218CEDBD1CC1256F230035C630
49751B8255040729C12572F8002EEA50,Abstimmung (Frequenz),ND,s. Funktechnik,,,FB15D37082DF27B3C1256F230035B618
296CA23BFC2946E7C1257A53005DBC59,Abstoßung (Magnetismus),ND,s. Magnetismus,,,9062EA830B8ED291C1256F230035BDE9
367903B0B0307917C1257B00003A210D,Abwind,ND,s. Aerodynamik,,,1B4425A3D0F05AC6C1256F230035AD89
6A45F08C4442FF22C12572F80030D9FE,Achse (Optik),ND,s. Optik,,,8C21C948CE013FFFC1256F230035C0F0
756C309AA3CC557DC1257A5D005B31A8,Addierer,ND,s. Operationsverstärker,,,42EB2AF62C4C462EC1256F230035C0E9
55F0595B66A193AAC1257A5D005B996D,Additive Farbmischung,ND,s. Farbe,,,8800D3B4297B22DBC1256F230035B4F9
20CC647162D13AEBC1256F230035E573,Additive Mischfarbe,ND,s. Farbe,,,8800D3B4297B22DBC1256F230035B4F9
2E87AF4D0C3A6725C1256F230035AD80,Adhäsion,DS,"Das Aneinanderhaften von Körpern aus unterschiedlichen Stoffen; Ursache von Absorption und Adsorption; z.B.: das Haften von Wassertropfen an einer Glasscheibe, von Kreide an der Wandtafel etc. beruht auf molekularen Anziehungskräften.",Physik,,
6E38DDD532F9C016C1257AAC003B6DAD,ADU,ND,s. Elektrotechnik,,,EF203285EEA7E129C1256F230035B423
8D2331C3BA657DF4C1257AAC003B656A,ADU,ND,s. Elektronik,,,7942043EFFB05503C1256F230035B420
CE32946CF03A74C4C1257AAC003B5EF1,ADU,ND,s. Signal (Elektrik),,,C7646F8D8E752172C1256F230035C5B4
44E67F172BE3E72CC1257A6600369500,Äquatoriales Koordinatensystem,ND,s. Weltall,,,029BAAC7CDFB0FD2C1256F230035CAD9
E5D7BF94DAFC50F9C1257A660036A676,Äquatoriales Koordinatensystem,ND,s. Astronomie,,,0346E7075EED35E4C1256F230035AECA
5D76CA31B5ACDA27C1257A660036537B,Äquatorsystem,ND,s. Weltall,,,029BAAC7CDFB0FD2C1256F230035CAD9
