DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
2E7D855D5360519EC1257A420041F2EE,5%-Hürde,ND,s. Wahl,,,6AD843FD1CDD072EC1256F230035CA27
7B4FD732556010FEC1257A400057D9DA,50 Jahre Grundgesetz,ND,s. Grundgesetz,,,554F1B457056D838C1256F230035B786
84B35D1F1126B084C1257EAB00336E66,Abbala,ND,s. Dschandschawid,,,23276A834EF7B92AC1257EAB00331A7E
36C5490B8153D0E5C1256F230035E51C,Abfall,ND,s. Müllabfuhr,,,4819815738AF09F2C1256F230035BFA0
7ACDA64E4FA3AD10C1257A46005328CB,Abfallentsorgung,ND,s. Müllabfuhr,,,4819815738AF09F2C1256F230035BFA0
D68C42D18DF1B9ADC1256F230035ACF8,Abgeordneter,DS,Mitglied einer Volksvertretung oder öffentlich-rechtlichen Körperschaft.,Politische Bildung,,
0BFA2BC6E2EFB512C1256F230035CC92,Abrüstung,D,s.a. Frieden,,,EFFC0CCD66BC5AA5C1256F230035B5F0
3ECF69D4A03F10F2C1256F230035AD2E,Abrüstung,DS,"Abbau militärischen Potenzials, i.w.S. auch Maßnahmen der Rüstungsbegrenzung und Rüstungskontrolle.",Politische Bildung,,
A07D814E68C4594DC1256F230035CC91,Abrüstung,D,s.a. Entspannungspolitik,,,33E6C8B4B7990288C1256F230035B45E
E964CE0C9B9552DCC1256F230035CC90,Abrüstung,D,s.a. Rüstung (Politik),,,5A1270443ABA0743C1256F230035C409
5F4E85FFC97C09D8C1257A4E0053AD0A,Absolute Mehrheit,ND,s. Wahl,,,6AD843FD1CDD072EC1256F230035CA27
C3774C7ABCD02A48C1256F230035E545,Absolute Monarchie,ND,s. Monarchie,,,8F3307E3CC23BF39C1256F230035BF4F
F8D77FAB4A850994C1256F230035E548,Abstimmung (Wahl),ND,s. Wahl,,,6AD843FD1CDD072EC1256F230035CA27
65BDDCE319D3DA42C1256F230035CCAC,Adel,D,s.a. Sozialstruktur,,,41DD28A16538EE1FC1256F230035C61C
96EBCA22ADDBBE90C1256F230035CCAD,Adel,D,s.a. Gesellschaft,,,BB09C0B20C629A87C1256F230035B6AC
0CDD2D0AE4A24FA7C12576CD00502695,Adhäsionsverfahren,ND,s. Recht,,,9DDACD4CD1AAB8F5C1256F230035C2D7
52723288B0D0F8DCC12572F8003ED54D,Administration,ND,s. Verwaltung,,,D591588AD9D3B9C8C1256F230035C9AB
64CC84161D668438C1256F230035E595,Agententätigkeit,ND,s. Spionage,,,72D6A35CC9090713C1256F230035C641
B7B662C3170997ACC1256F230035E599,Agitation (Politik),ND,s. Propaganda,,,48A8C8D10565FA94C1256F230035C25E
5D9F40E8D7398954C1256F230035E59E,Agrarpolitik,ND,s. Politik,,,0D282D6F90D66B5FC1256F230035C211
