DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
6B30E164DC372B2EC1256F230035E577,ADHS,ND,s. Konzentration (Psychologie),,,C36BB91F4C6087D7C1256F230035BB9E
28AF246DAD37D835C1256F230035E587,ADS (Psychologie),D,s.a. Konzentration (Psychologie),,,C36BB91F4C6087D7C1256F230035BB9E
9243E4722BCD0586C1256F230035E586,ADS (Psychologie),D,s.a. Aufmerksamkeit,,,0CA17F499075FCC2C1256F230035AEE8
E9855EA75D92005EC12572F8002B8C5B,Abendschulen,ND,s. Weiterbildung,,,E55D7A53E88755D1C1256F230035CACA
45931A5EE95CE678C1256F230035E531,Abitur,ND,s. Gymnasium,,,83AB18766BD9CAE4C1256F230035B7AD
5A7A5A6A0E43F410C1257A4B00584CBB,Ablenkung (Konzentration),ND,s. Konzentration (Psychologie),,,C36BB91F4C6087D7C1256F230035BB9E
6079E2030D236B8EC1256F230035E53E,Abschlussprüfung,ND,s. Prüfung,,,20FCE4A3A52B2049C1256F230035C26D
E96917D3A3E20A01C1256F230035AD6F,Abstraktion,DS,Kognitiver Prozess; das Heraussondern des Wesentlichen aus dem Unwesentlichen.,Pädagogik,,
095FBCFA02223AF2C12572F900317512,Akademiker,ND,s. Hochschule,,,575AD14FF452C8C5C1256F230035B8B0
7DA7E55BEC637FDCC1256F230035E5B8,Aktivierende Methode,ND,s. Unterrichtsmethode,,,AA832EEF483276DBC1256F230035C8EC
E9E94A00771DCC5FC1257A820036E26B,Albert-Schweitzer-Kinderdorf (Waldenburg),ND,s. Kinderdorf,,,EF1BE2ED6FDBBE0AC1256F230035C609
4366EEAB5CEF6F34C1256F230035CD3D,Analyse (Unterrichtsmethode),D,s.a. Unterrichtsmethode,,,AA832EEF483276DBC1256F230035C8EC
6B8A559AEF7C4BB1C1256F230035AE1B,Analyse (Unterrichtsmethode),DS,Die didaktische Aufbereitung eines Stoffes durch den Lehrer.,Pädagogik,,
CE906974A3453ED2C1257AB0005C7D90,Analyseverfahren (Unterrichtsmethode),ND,s. Analyse (Unterrichtsmethode),,,6B8A559AEF7C4BB1C1256F230035AE1B
7C2FAB8F6CAF4631C1257B06005094B9,Anpassung (Mensch),ND,s. Entwicklungspsychologie,,,74FB262F87E97287C1256F230035B463
2BBEB1AE7E742C6AC1257ABC00605424,Anregungsmilieu,ND,s. Entwicklungspsychologie,,,74FB262F87E97287C1256F230035B463
1F93519351BD670CC1256F230035E67A,Antiautoritäre Erziehung,ND,"s. Neill, Alexander Sutherland",,,436D9001868CF8F6C1256F230035C031
D2FAB8D95CE905EBC1256F230035E679,Antiautoritäre Erziehung,ND,s. Erziehungsstil,,,58AB25857C9C06CDC1256F230035B49D
3941B36B0CD9C4C5C1256F230035E6AC,Arbeiterbildung,ND,s. Weiterbildung,,,E55D7A53E88755D1C1256F230035CACA
AF5E1D44FCD66A0CC1256F230035AE90,Arbeitsblatt,DS,"Vom Lehrer für Schüler zusammengestellte Unterlagen zu einem Thema, z.T. zur Erklärung und Beschreibung, z.T. mit Aufgabenstellungen.",Pädagogik,,
71C8F2200CEE650DC1257B090059A6AD,Argumentieren,ND,s. Streitschlichtung (Schule),,,7460144E4CF1714FC1256F46003BA518
0CA17F499075FCC2C1256F230035AEE8,Aufmerksamkeit,DS,"Das Ausrichten des Wahrnehmens, Vorstellens und Denkens auf bestimmte gegenwärtige oder erwartete Erlebnisinhalte, ein psychischer Zustand gesteigerter Wachheit und Aufnahmebereitschaft.",Pädagogik,,
78E68AC59F5715FAC1256F230035CDFA,Aufmerksamkeit,D,s.a. Lernschwierigkeit,,,C8595A335B6B7EEBC1256F230035BD32
EF7D51AD09FE2CD5C1256F230035E768,Aufmerksamkeit (Konzentration),ND,s. Konzentration (Psychologie),,,C36BB91F4C6087D7C1256F230035BB9E
3C192348DEEA4CB4C1256F230035E76C,Aufmerksamkeit-Defizit-Syndrom,ND,s. Aufmerksamkeit,,,0CA17F499075FCC2C1256F230035AEE8
0EE8471BEC9110F8C1256F230035E76D,Aufmerksamkeitsdefizitsyndrom,ND,s. Konzentration (Psychologie),,,C36BB91F4C6087D7C1256F230035BB9E
E6C97E5B4C9E2AE2C1256F230035E76E,Aufmerksamkeitsdefizitsyndrom,ND,s. Aufmerksamkeit,,,0CA17F499075FCC2C1256F230035AEE8
BBA919977E0AD588C1256F230035E76F,Aufmerksamkeitsstörung,ND,s. Aufmerksamkeit,,,0CA17F499075FCC2C1256F230035AEE8
D67F469C5739DADBC1256F230035E774,Aufmerksamkeitsstörung,ND,s. Konzentration (Psychologie),,,C36BB91F4C6087D7C1256F230035BB9E
0226134FB81B4B6BC1256F230035E775,Aufmerksamkeitstraining,ND,s. Aufmerksamkeit,,,0CA17F499075FCC2C1256F230035AEE8
EA0EB4740866F9A1C1256F230035E779,Aufsatzerziehung,ND,s. Deutschunterricht,,,CF5C50332E03F280C1256F230035B33C
E3481F1A50924B54C1256F230035CE07,Ausbildung,D,s.a. Bildung,,,4B7F63D2D5F08B56C1256F230035B0AF
48BF62903C65F1B6C1256F230035E795,Ausbildungsform,ND,s. Lehrverfahren,,,F99906CF80319D4AC1256F230035BD0D
624519BEB4E991C2C1256F230035AF05,Ausländerpädagogik,DS,Spezielle Erziehungs- und Lern-/Lehrprogramme bzgl. Ausländer zur Lehrerfortbildung.,Pädagogik,,
67B80FD8E96F258CC1257B07003C3A6A,Auswahl-Antwort-Aufgabe,ND,s. Multiple-choice,,,24FB612D691229C1C1256F230035BFAE
