DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
BD9A627A7DED8D15C1257A2B005202EF,10 Gebote,ND,s. Zehn Gebote,,,EFC0F2ADF02DF510C1256F230035CBFA
EF32A1EDD43B55FFC1257A3B003881BF,1529,ND,s. Reformation,,,928152C161C1F90DC1256F230035C2E5
413892497462849EC1257A4000575635,5 Säulen,ND,s. Islam,,,A8A2EB21C1A0A3FEC1256F230035B9A1
F3B7EDBD92DEC778C1257A420042C87B,95 Thesen,ND,"s. Luther, Martin",,,63181026C28080F8C1256F230035BDCC
4B722AC544330E01C1256F230035E50C,A.T.,ND,s. Altes Testament,,,C5B62CBC3B74B506C1256F230035AE03
50B8F3C0C6702541C1256F230035AC6D,Aaron (biblische Gestalt),DS,Figur des Alten Testaments; Bruder des Moses.,Religion,,
3DCE197314810D52C1257A440059F4B0,Abbasiden,ND,s. Islam,,,A8A2EB21C1A0A3FEC1256F230035B9A1
FC92CDA1C91944E7C12573300052FC69,Abdias,ND,s. Altes Testament,,,C5B62CBC3B74B506C1256F230035AE03
0276E01AC46E3CB9C1256F230035CC82,Abel (biblische Gestalt),D,s.a. Kain (biblische Gestalt),,,12D298F553AA4934C1256F230035BA47
10A6B38AEECCEFF6C1256F230035ACA2,Abel (biblische Gestalt),DS,Figur des Alten Testaments; zweiter Sohn Adams und Evas.,Religion,,
14DBBDF83E33500EC1256F230035CC83,Abendmahl,D,s.a. Eucharistie,,,FC1B76BB2639A849C1256F230035B4AB
D60E7DD47195B05AC1256F230035ACB0,Abendmahl,DS,Als Gedächtnisfeier des letzten Abendmahles Jesu in nahezu allen christlichen Glaubensgemeinschaften; Höhepunkt des Gottesdienstes.,Religion,,
4B92E719EA4F3ACAC1256F230035ACE4,Aberglaube,DS,"Glaube an Kräfte, die außerhalb naturwissenschaftlicher Interpretation stehen und nicht in der jeweiligen Religionslehre selbst begründet sind.",Religion,,
6187B0250EF4A424C125825900549CFA,Abkehr von der Religion,ND,s. Säkularisierung,,,84C55DFE9A49FB11C125825900542539
2ED5AAF3B6B5BE27C1256F230035ACFD,Ablasshandel,DS,Handel mit Beichtbriefen. Katholische Kirche: außersakramentaler Erlass zeitlicher Sündenstrafen; Missstände im Ablasswesen waren ein Auslöser der Reformation.,Religion,,
8CF825D29CA76988C1256F230035CC8B,Ablasshandel,D,"s.a. Luther, Martin",,,63181026C28080F8C1256F230035BDCC
BA973A7F768B52B2C1256F230035CC8C,Ablasshandel,D,s.a. Reformation,,,928152C161C1F90DC1256F230035C2E5
FD01B9491EE5EFB6C1256F230035E537,Ablasswesen,ND,s. Ablasshandel,,,2ED5AAF3B6B5BE27C1256F230035ACFD
915DDEBE2B5E1174C1256F230035AD14,Abraham (biblische Gestalt),DS,Erster der Patriarchen und Stammvater Israels. Figur des Alten Testaments.,Religion,,
0C6C046D3BBBE36CC1257A4D00583AD4,Abraham-Zyklus,ND,s. Abraham (biblische Gestalt),,,915DDEBE2B5E1174C1256F230035AD14
A464E662C0DD297FC1256F230035AD37,Absalom (biblische Gestalt),DS,Figur des Alten Testaments; 3. Sohn Davids.,Religion,,
6484F203D45B6A70C12572F8002F7A2D,Abt,ND,s. Mönchtum,,,DF1E26C3C982BD0AC1256F230035BF51
A4695D760B18CDE0C12571C70049200E,Abu I-Kasim Muhammad Ibn Abdallah,ND,s. Mohammed (Stifter des Islam),,,5FD0A8632162BA3CC1256F230035BF43
6FB604AEC7262A13C125772B0050CDE5,Acharya Rajneesh,ND,s. Bhagwan,,,A2361CEBBA38E52DC1256F230035B089
A62BDE49BCD1BED0C1257A5C0060C60F,"Achas (Juda, König)",ND,s. Juda,,,809B360FF0B9CB39C1256F230035BA17
D52D7E79DBAAE72FC1257A5C0060EC4E,"Achaz (König, Südreich Juda)",ND,s. Juda,,,809B360FF0B9CB39C1256F230035BA17
A3F8CC84101167C0C1256F230035AD7A,Adam (biblische Gestalt),DS,Figur des Alten Testaments. Mit Eva das erste Menschenpaar.,Religion,,
BAC45090D74EC06EC1256F230035CCA9,Adam (biblische Gestalt),D,s.a. Eva (biblische Gestalt),,,669D286361F3AE7CC1256F230035B4BB
