DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
35216E9DCE762C17C1257A4E0052515F,Abschirmung (Strahlung),ND,s. Strahlenschutz,,,DA85DF4030E656BBC1256F230035C6E0
33FABD60C62D8844C1257A4E0052C3C5,Abschleppen (Rettungsschwimmen),ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
152BDDA3A07E4369C1257A4E0052DDE0,Abschleppgriff,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
3EFD0313BD5A8902C1257AB7005BBDA3,Anlandbringen,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
02A361D3DC59BB77C1256F230035E69C,Apnoe,ND,s. Erste Hilfe,,,022284762121DB9EC1256F230035B493
236A4A0961CE40BEC1257237003A3ADE,Arbeiter-Samariter-Bund,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
540E43630AE0E884C1256F230035E6AB,Arbeiter Samariterbund,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
C84C3931B096144FC1257306002D5E4B,Atemschutzgeräte,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
707CFE8C2F99BA2BC1257AED00582B69,Atemspende,ND,s. Erste Hilfe,,,022284762121DB9EC1256F230035B493
842721C9E4F155C6C1257AED0058338E,Atemspende,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
60968F81DF3DBE1FC1256F230035E72C,Atemstillstand,ND,s. Erste Hilfe,,,022284762121DB9EC1256F230035B493
999CA259FBF660B8C12573160057D20C,Bandage,ND,s. Verbandtechnik,,,3F8F534C28569D7AC1256F230035C938
2DE89F08530E3FC6C1256F230035E88A,Beatmung,ND,s. Erste Hilfe,,,022284762121DB9EC1256F230035B493
0439E7D0D4C8F860C1257B2600572BCE,Beatmungsgerät,ND,s. Erste Hilfe,,,022284762121DB9EC1256F230035B493
B7F1C9CDC9267523C1257B27005DCE3B,Befreiungsgriff,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
2DE6F3CF7DAFD37FC1257B33005FDFE6,Bergrettung,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
4389CE08EF9A283AC1257B3300605865,Bergunfall,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
AB2BC61B6B67D4A5C1256F230035E8E1,Bergwacht,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
0BD52472F4A161F0C1256F230035E904,Berufsfeuerwehr,ND,s. Feuerwehr,,,69789F2A06ACF7A3C1256F230035B538
84A4A1F73EE58C4BC1257B73005470F8,Binde (Verbandmaterial),ND,s. Verbandtechnik,,,3F8F534C28569D7AC1256F230035C938
9FC62B8E02C3B0B0C1257F1B005CEAB0,Bombenentschärfung,ND,s. Kampfmittelbeseitigung,,,C9FFF06A936C5846C1257F1B005C7B78
D74F22ECF1C9DF81C1257F1B005CF63A,Bombensuche,ND,s. Kampfmittelbeseitigung,,,C9FFF06A936C5846C1257F1B005C7B78
52CF533BB5AC584FC1256F230035EA55,Brand (Feuer),ND,s. Brandbekämpfung,,,364DCC6BD1F3529EC1256F230035B152
0A39F84C1355ECF0C1256F230035D0CE,Brandbekämpfung,D,s.a. Feuerlöscher,,,71010787A2E61042C1256F230035B537
364DCC6BD1F3529EC1256F230035B152,Brandbekämpfung,DS,Konkrete Beschreibungen bzw. Methoden zur Bekämpfung von Bränden allgemein und von der Feuerwehr.,"Retten, Helfen, Schützen",,
99C335A389378069C1256F230035D0CD,Brandbekämpfung,D,s.a. Brandschutz,,,948DD0FC21D83C1EC1256F230035B157
C8668BFDDC4B4494C1256F230035D0CC,Brandbekämpfung,D,s.a. Feuerwehr,,,69789F2A06ACF7A3C1256F230035B538
55E376952FFCBAC1C1256F230035EA5D,Brandgefahr,ND,s. Brandbekämpfung,,,364DCC6BD1F3529EC1256F230035B152
9B908F04A037392FC1256F230035EA5E,Brandgefahr,ND,s. Brandschutz,,,948DD0FC21D83C1EC1256F230035B157
822D80DEF70AB9E1C1256F230035EA5F,Brandklassen,ND,s. Brandbekämpfung,,,364DCC6BD1F3529EC1256F230035B152
062CF99874A36118C125736B00362FEA,Brandmauer,ND,s. Brandschutz,,,948DD0FC21D83C1EC1256F230035B157
31D4BB0C0D24FEECC1256F230035D0D6,Brandschutz,D,s.a. Feuerwehr,,,69789F2A06ACF7A3C1256F230035B538
948DD0FC21D83C1EC1256F230035B157,Brandschutz,DS,"Alle Maßnahmen und Möglichkeiten zur Verhütung von Bränden, besonders Bau- und gewerbepolizeiliche Vorkehrungen.","Retten, Helfen, Schützen",,
A6E262E315511FB9C1256F230035D0D7,Brandschutz,D,s.a. Feuerlöscher,,,71010787A2E61042C1256F230035B537
C5AA27E68462C560C1256F230035D0D5,Brandschutz,D,s.a. Brandbekämpfung,,,364DCC6BD1F3529EC1256F230035B152
D448B500D5A60604C1257A4A003155DA,Brandschutz,D,s.a. Waldbrand,,,191664D0459B0B1FC1256F230035CA37
0088421C36188870C1257BB30054D857,Brennbarkeit,ND,s. Brandbekämpfung,,,364DCC6BD1F3529EC1256F230035B152
B14FE046357A5548C125726F003A1AFF,Deutsche Gesellschaft zur Rettung Schiffbrüchiger,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
00241A1E7765459EC1257237003A2764,Deutsche Lebens-Rettungs-Gesellschaft,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
F979713D247F7D81C1257C2E005F81FF,Deutsche Lebensrettungsgesellschaft,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
AB6A8AEBA7CC5604C1256F230035EBF4,Deutsches Rotes Kreuz,ND,s. Rotes Kreuz,,,0E2B883A05C7F8F7C1256F230035C3DF
7AC59BD24EBC4E2DC125747800390B0B,DLRG,ND,s. Rettungswesen,,,2CA335A3BDFF0562C1256F230035C360
EE611E597ED1635CC1257F600048AF20,Dosisleistungsmesser,ND,s. Strahlenschutz,,,DA85DF4030E656BBC1256F230035C6E0
08C302409700A93AC1257F600048A5C2,Dosisleistungsmessgerät,ND,s. Strahlenschutz,,,DA85DF4030E656BBC1256F230035C6E0
