DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
68F8BBE214377011C1257A4D00576A00,Ablösungsprozess,ND,s. Pubertät,,,A6EE2C7214D81CBAC1256F230035C277
B33A916B860B0E3FC1256F230035E57E,Adoleszenz,ND,s. Pubertät,,,A6EE2C7214D81CBAC1256F230035C277
903A809E9F92F445C1256F230035E67B,Antibabypille,ND,s. Empfängnisverhütung,,,78D78E3EBFF7A442C1256F230035B43E
C7ECE8EC6D702D2AC1257AC500673CB5,Antikonzeptionsmittel,ND,s. Empfängnisverhütung,,,78D78E3EBFF7A442C1256F230035B43E
123C9835A9A4119FC1257301003C45B3,Antikonzeptivum,ND,s. Empfängnisverhütung,,,78D78E3EBFF7A442C1256F230035B43E
E8E1B049A88DE1DBC1256F230035E767,Aufklärung (Sex),ND,s. Sexualerziehung,,,E61D30FD9BCEADBFC1256F230035C593
D728FC0128648CADC1257B1C00379C82,Bartwuchs,ND,s. Pubertät,,,A6EE2C7214D81CBAC1256F230035C277
6ED78DF212EFAD6EC1257B1C00382721,Basaltemperatur,ND,s. Empfängnisverhütung,,,78D78E3EBFF7A442C1256F230035B43E
C941E13A1E4AC205C1257B27005E3EB9,Befruchtete Eizelle,ND,s. Fortpflanzung (Mensch),,,C128542BBE8A6DA8C1256F230035B59F
7D31B1BB5AC0D0E8C1256F230035CF24,Befruchtung,D,s.a. Fortpflanzung (Mensch),,,C128542BBE8A6DA8C1256F230035B59F
6D320976C7E08662C1257B28005569DA,Behaarung (Pubertät),ND,s. Pubertät,,,A6EE2C7214D81CBAC1256F230035C277
1FDD862A2BED2F3AC125731E003774B2,Beischlaf,ND,s. Fortpflanzung (Mensch),,,C128542BBE8A6DA8C1256F230035B59F
28172E05DA29E677C1256F230035EA0E,Blutschande,ND,s. Inzest,,,CBD6862664CE0FACC1256F230035B992
E1046E6111E27434C1257B78004AF3CF,Bläschendrüse,ND,s. Empfängnisverhütung,,,78D78E3EBFF7A442C1256F230035B43E
5BA679EE214E5380C1257BD2004C8514,Brust (Geschlechtsmerkmal),ND,s. Pubertät,,,A6EE2C7214D81CBAC1256F230035C277
ED8505CAF7470FA7C1257BE0003C3342,Busen (Geschlechtsmerkmal),ND,s. Pubertät,,,A6EE2C7214D81CBAC1256F230035C277
046EE985D7048C9EC1256F230035EB6B,Coitus interruptus,ND,s. Empfängnisverhütung,,,78D78E3EBFF7A442C1256F230035B43E
