DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
16C2E38D486EC91AC1257A44005C91FE,Abenteuer,ND,s. Abenteuerfilm (für Kinder),,,93066A4D8826617EC1256F230035ACC1
C696CE8A5054A9E5C1257A44005C8850,Abenteuer,ND,s. Abenteuerfilm (für Jugendliche),,,834F7B6CEA90BEC8C125720D00322DA3
CA523775860B95EBC1257A44005C80B7,Abenteuer,ND,s. Abenteuerfilm (für Erwachsene),,,D8E395051F562D78C1256F230035ACBC
BC6008150FD03322C1256F230035CC84,Abenteuerfilm (für Erwachsene),D,s.a. Abenteuerfilm (für Kinder),,,93066A4D8826617EC1256F230035ACC1
C09ACA75B48563F3C125720D00326B92,Abenteuerfilm (für Erwachsene),D,s.a. Abenteuerfilm (für Jugendliche),,,834F7B6CEA90BEC8C125720D00322DA3
D8E395051F562D78C1256F230035ACBC,Abenteuerfilm (für Erwachsene),DS,"Spielfilm, in dem der Held in eine Kette von Ereignissen verwickelt wird; Adressaten ab ca. 21 Jahre.",Spiel- und Dokumentarfilm,,
FF32E869C5CC6D67C1256F230035CC85,Abenteuerfilm (für Erwachsene),D,s.a. Actionfilm,,,0A38372456CC103FC1256F230035AD79
834F7B6CEA90BEC8C125720D00322DA3,Abenteuerfilm (für Jugendliche),DS,"Spielfilm, in dem der Held in eine Kette von Ereignissen verwickelt wird; Adressaten von ca. 14 - 21 Jahre.",Spiel- und Dokumentarfilm,,
A5CF1243171E6F95C125720D003279F7,Abenteuerfilm (für Jugendliche),D,s.a. Abenteuerfilm (für Erwachsene),,,D8E395051F562D78C1256F230035ACBC
E76A18005DEA5F3DC125720D00328323,Abenteuerfilm (für Jugendliche),D,s.a. Abenteuerfilm (für Kinder),,,93066A4D8826617EC1256F230035ACC1
143CDE56BFC37E6EC1256F230035CC86,Abenteuerfilm (für Kinder),D,s.a. Abenteuerfilm (für Erwachsene),,,D8E395051F562D78C1256F230035ACBC
