DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
C37CB86E45569E58C1257A4200422FCD,"5,5-m-R-Yacht",ND,s. Segelsport,,,62E848505980108FC1256F230035C55C
534CF1D4099F5066C1257A420045D5E9,"Abada, Patrick",DS,Patrick Abada; geb. 1954; ist ein ehemaliger französischer Stabhochspringer.,Sport,,
D04810726DDA8E4FC1257A44005BE92E,Abbücken,ND,s. Turnen,,,678320ED8CCACE0AC1256F230035C88C
E5A140DAC5CA5B3DC1257A44005C5902,Abduktion (Physiologie),ND,s. Bewegungsablauf,,,0487C7777817F6E8C1256F230035B082
25FCF86A30AA9C78C12572A7003A4A97,Abfahrt (Skisport),ND,s. Skisport,,,98DE4087C8A66F29C1256F230035C5DA
A9B7183119C4D838C1257A44005D2B2A,Abfahrtslauf,ND,s. Skisport,,,98DE4087C8A66F29C1256F230035C5DA
759327A1B2BE3051C1257A460053BD0A,Abgang (Turnen),ND,s. Turnen,,,678320ED8CCACE0AC1256F230035C88C
AD67EC4D3E752B99C1257A460054591A,Abgrätschen (Turnen),ND,s. Turnen,,,678320ED8CCACE0AC1256F230035C88C
C3D266F3323812B7C1257A460054B026,Abhocken (Turnen),ND,s. Turnen,,,678320ED8CCACE0AC1256F230035C88C
9EE8BE05234E39EAC1256F230035E538,Ablegen (Wasserfahrzeug),ND,s. Rudern,,,CC43B0A3E86C51E1C1256F230035C3F4
2D3495CA9BD2579DC1257A4B00576701,Ablegen (Wasserfahrzeug),ND,s. Segelsport,,,62E848505980108FC1256F230035C55C
D09A5B7A326C74C2C1257A4D00581BF5,Abräumen (Handball),ND,s. Hallenhandball,,,DA0335B0989AFABCC1256F230035B7D6
2D03510A7B33389CC1257A4D0058AD93,Abrichten (Dressur),ND,s. Dressur,,,9668810BDC138CEBC1256F230035B3A1
8816CE7D59651941C1257A4E0052B8FD,Abschleppen (Segelsport),ND,s. Segelsport,,,62E848505980108FC1256F230035C55C
526A50CF5B7DB14CC1257A4E0052F25A,Abseilblock,ND,s. Bergsteigen,,,4BDCE966816C3F59C1256F230035B036
