DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
11CE9F5A3AB0A047C1256F230035E52E,Abhängigkeit (Sucht),ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
7049F6AA521E6187C12572F8003CDB82,Acid,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
6E75B527069623CCC1257A8200376C87,Alcopop,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
D6C648BF62CDC2B2C1257A8200376772,Alcopop,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
EE64E9D91CA62BC3C1256F230035CCCD,Alkohol,D,s.a. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
5CE0A751F1128748C1256F230035E5C9,Alkoholiker,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
9E51F3F19F704664C1256F230035CCCF,Alkoholismus,D,s.a. Sucht,,,82AB3CED5DAFB453C1256F230035C717
BAE19FF972414B33C1256F230035ADED,Alkoholismus,DS,"Zusammenfassende Bezeichnung für Krankheitserscheinungen, die durch regelmäßige Aufnahme von Alkohol hervorgerufen werden. Beschreibung der Sucht, ihre Gründe sowie Auswirkungen auf den Süchtigen und seine Umwelt sowie Vorbeugung und Therapie.",Sucht und Prävention,,
0B56E08EB179F329C12572FA003A66CA,Alkoholkrankheit,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
87EF5BCA8AF919ACC1256F230035E5CA,Alkoholkrankheit,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
21C84F12210A17B7C1257A86005DD7E5,Alkoholmissbrauch,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
D485C304E341D261C1257CE4005D692D,Alkomat,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
3E51B032D7789D1AC1257A8200377891,Alkopop,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
EB8118EE6769C070C1257A8200377DFE,Alkopop,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
5AB29F291C3A5472C125722C003DF91A,Amphetamine,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
840E7A914D6B3C39C1257301003AD5FA,Anonyme Alkoholiker,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
02E3F130468B845BC1256F230035CDB2,Arzneimittel,D,s.a. Arzneimittelmissbrauch,,,3B6AD14B3C9E42D2C1256F230035AEBA
3B6AD14B3C9E42D2C1256F230035AEBA,Arzneimittelmissbrauch,DS,"Die einmalige, mehrmalige oder ständige Verwendung jeder Art von Medikamenten ohne medizinische Indikation und/oder in übermäßiger Dosierung.",Sucht und Prävention,,
1966120138D83EB4C1256F230035E84C,Barbiturate,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
5B6DFF026A18F404C1256F47003A8898,Cannabis,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
AD0152ADCC0B5DACC125722C003E0509,Crack,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
E67EF6AE3305B2B0C12581A8005C16B6,Crystal Meth,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
DB9ED2AD1AEC4F67C12577DC00542B7B,DAM,ND,s. Heroin,,,F8F820A72A565FA5C1256F230035B877
FAB7F6AF66A16DD7C12574550032642A,Dealer,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
6CF7AFAA32161740C1257A820037C2E3,Designer Drink,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
8A85C30427B083C1C1257A820037C9F0,Designer Drink,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
57019130A2CB8E00C1256F620030C1E6,Designerdroge,ND,s. Ecstasy,,,228F7D3ECE783923C1256F230035B3D5
84CB7488C5F71BF6C1256F620030AF3F,Designerdroge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
4B88CF1F27B7BFC9C1256FF00031E0B9,Diacetylmorphin,ND,s. Heroin,,,F8F820A72A565FA5C1256F230035B877
332719A2E5DE7815C12577DC00542203,Diamorphin,ND,s. Heroin,,,F8F820A72A565FA5C1256F230035B877
68F88CEBCF7BD016C1256F230035EC62,Droge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
27638E5B23C65BC8C1257C460062DC43,Drogenabhängiger,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
9DAFEACA172D3D76C1257C460062D08A,Drogenabhängiger,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
1D8CE866392396E7C1256F230035EC63,Drogenabhängigkeit,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
D643541786D89EF8C1256F230035EC64,Drogenabhängigkeit,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
1688BD26C70352B7C1256F230035D290,Drogenberatung,D,s.a. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
748192D4763F0DB5C1256F230035B3A5,Drogenberatung,DS,"Alle Möglichkeiten von einer Drogenabhängigkeit befreit zu werden. Beschreibung von Beratung, Entzug und dort auftretenden Problemen sowie Wiedereingliederung in die Gesellschaft.",Sucht und Prävention,,
6BC3AE5F24A42221C1256F230035EC65,Drogenentzug,ND,s. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
C773068D550F9B16C1256F230035EC66,Drogengewinnung,ND,s. Drogenhandel,,,D6480F6A5C475FF0C1256F230035B3A6
D6480F6A5C475FF0C1256F230035B3A6,Drogenhandel,DS,"Alle Zusammenhänge zwischen Anbau, Gewinnung und Handel mit Rauschgiften. Auch Machtproblematiken wie z.B. bzgl. Drogenkrieg.",Sucht und Prävention,,
039416D7613581F6C1257C4600632264,Drogenherstellung,ND,s. Drogenhandel,,,D6480F6A5C475FF0C1256F230035B3A6
47B49B3AB5FCB8CFC1256F230035EC67,Drogenkonsum,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
2BAF764CE9D027E6C1258451005D3EB3,Drogenmissbrauch,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
C8B8B22891D4F2B7C1257C460063958D,Drogenprävention,ND,s. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
D3DAE407865C508BC1257C4600638B56,Drogenprävention,ND,s. Suchtprävention,,,6B78F27035FF3036C1256F230035C71A
544BA4DA252A70F8C1256F230035EC68,Drogensucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
6DCA98BF25CD99DDC1258451005D4F0A,Drogensucht,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
228F7D3ECE783923C1256F230035B3D5,Ecstasy,DS,Synthetisches Rauschmittel.,Sucht und Prävention,,
6BB5AF1E333E7446C1256F230035ECBD,Einstiegsdroge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
59DA714A237B2C09C1256F9A00338206,Entwöhnungskur,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
2493B4D32A5FB8F5C1256F230035ED4B,Entziehungskur,ND,s. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
9C88956335F1F0D3C1256F230035ED4A,Entziehungskur,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
74B632875D37256CC125722C003DCBA4,Entzug,ND,s. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
7EABF0E71154E1BDC1256F230035EDE1,Extasy,ND,s. Ecstasy,,,228F7D3ECE783923C1256F230035B3D5
818AA8DD21FE9384C1256F230035EE8A,Fixer,ND,s. Heroin,,,F8F820A72A565FA5C1256F230035B877
B0038C973CD2C74DC1257D010057C2F3,Flatratesaufen,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
92B7D8CF612234DAC12581A8005BD0FC,GHB,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
A1A13F07BB2480F6C1257DCD005CD5C6,Gras,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
D45EFC9CB52D7A1BC1256F230035F114,Halluzinogene,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
EC95DBEE05500D8BC12583E0005C2DCA,Handysucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
52CD6CC31D36AD02C1256F230035F126,Hanfdroge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
5867BC5E22BB00BDC125722C003E2F51,Harte Droge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
334213CED719659AC1256F230035F140,Haschisch,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
F8F820A72A565FA5C1256F230035B877,Heroin,DS,"Chemisch Diacetylmorphin oder Diamorphin (DAM); Rauschgift, das bekannteste und gefährlichste Opiat. Wegen der Gefahr des Süchtigwerdens ist die ärztliche Anwendung des Heroins in vielen Staaten (auch in der Bundesrepublik Deutschland) verboten. Schwerstabhängige werden mit der Ersatzdroge Methadon behandelt.",Sucht und Prävention,,
E3AE6BF29CE5BABCC125722C003E0CCD,Ice,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
7E76E7704F112B9CC12581A8005BEECA,Kath,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
BBE97770572714C2C1256F230035F4A5,Kokain,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
03745280AB3FC0D5C12578010059333D,Koks (Kokain),ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
B48C4E304E16BBCCC1257F1600601FF7,Komasaufen,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
6AD57754E701018FC12581A8005C2147,Krok,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
54F83D36BD1FCEA8C1256F230035F7E1,LSD,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
D97B7A3044FF286FC1256F230035F893,Marihuana,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
4FF3D7265D0F3510C12583E0005D4965,Mediensucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
3C4B1A616FE505D6C1256F230035F901,Medikamentenmissbrauch,ND,s. Arzneimittelmissbrauch,,,3B6AD14B3C9E42D2C1256F230035AEBA
25BEEEC49735F533C125722C003E1778,Mescalin,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
6116CC8330E33F1FC1256F230035F968,Methadon,ND,s. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
DEFB38540975799DC1256FF00031EF7D,Methadon,ND,s. Heroin,,,F8F820A72A565FA5C1256F230035B877
14638623C15D6A7DC12581A8005BB509,Methamphetamin,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
B94F029982455222C1258451005D32F6,Missbrauch (Drogen),ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
ABDAB8A6F9B60D39C12581A8005B55B5,Moderne Drogen,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
6DC3CA1B9D47A52FC1256F230035FA29,Morphin,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
A05C37384E813701C1256F230035DB95,Nichtraucher,D,s.a. Rauchen,,,0F90F5C44ABB9DEAC1256F230035C2C0
62DE0136CCE34F6EC1256F230035DBB4,Nikotin,D,s.a. Rauchen,,,0F90F5C44ABB9DEAC1256F230035C2C0
27A5F9FEBDFC0C4BC1256F230035FC51,Opiate,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
1952EEC649688659C1256F230035FC53,Opium,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
F191941448C019B2C12572E4002B49B2,Pfeife (Rauchen),ND,s. Rauchen,,,0F90F5C44ABB9DEAC1256F230035C2C0
117A9096B0EB059CC1256F230035DCF1,Pharmazie,D,s.a. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
C541839710CA4D86C12577300047183E,Phenylethylaminen,ND,s. Ecstasy,,,228F7D3ECE783923C1256F230035B3D5
58F3400EE22AD912C12583E7005AADE0,Pornosucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
E638807C0600A2BBC1256F230035FE77,Prävention,ND,s. Suchtprävention,,,6B78F27035FF3036C1256F230035C71A
6F85FB9466E4B743C1257A8200379869,Premixgetränk,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
B8551CBEF9A3772EC1257A820037A031,Premixgetränk,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
3FD5E2C78960ECAAC125722C003E1F08,Psilocybin,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
0F90F5C44ABB9DEAC1256F230035C2C0,Rauchen,DS,"Einsaugen des Rauches von Pflanzenerzeugnissen, z.B. Tabak. Alle Zusammenhänge wie Sucht, Entwöhnung, Gewohnheiten, Krankheiten.",Sucht und Prävention,,
47767AB96AC3BD8DC125722C003B8BA3,Rauchwaren,ND,s. Rauchen,,,0F90F5C44ABB9DEAC1256F230035C2C0
7B77B8A2A10A7949C1256F230035FF72,Rauschdroge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
093A44259375AC5DC1256F230035C2C6,Rauschgift,DS,"Gruppe von Stoffen (Drogen), die beim Menschen erregend oder lähmend auf das Zentralnervensystem wirken, häufig zu Bewusstseinsänderungen und Euphorie führen und pyschische und körperliche Abhängigkeit hervorrufen können. Probleme, Szene, Missbrauch.",Sucht und Prävention,,
5FE8404CD726017DC1256F230035DDA4,Rauschgift,D,s.a. Ecstasy,,,228F7D3ECE783923C1256F230035B3D5
80245DA74C9F8327C1256F230035DDA1,Rauschgift,D,s.a. Drogenhandel,,,D6480F6A5C475FF0C1256F230035B3A6
CEC7D2F1A022E359C1256F230035DD9F,Rauschgift,D,s.a. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
E0F398098E034174C1256F230035DDA0,Rauschgift,D,s.a. Sucht,,,82AB3CED5DAFB453C1256F230035C717
F00901BC4334775FC1256F230035DDA2,Rauschgift,D,s.a. Heroin,,,F8F820A72A565FA5C1256F230035B877
FDB8F23FE06DD297C1256F230035DDA3,Rauschgift,D,s.a. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
612AAD2ED12BAC78C1256F230035FF73,Rauschgiftsucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
52CC02D5973DB8B7C1256F230035FF74,Rauschmittel,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
17B427A20CE9F523C1257A820037B466,Ready-to-Drink,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
2F95F8868CC1B76CC1257A820037B08D,Ready-to-Drink,ND,s. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
3C27AAD3A1432F09C125726B00368172,Schnüffeln,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
D60B9767ACA3F484C12572A7003E8F68,Snow (Rauschmittel),ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
39FFF8B8F7F29254C12581A8005BC72B,Speed,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
34CB7455EA2B3113C12583E7005BE9E1,Spielesucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
C2BA02636CF69D0FC12583E7005BF43C,Spielsucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
EF64D3C6446A87E8C125722C003DEF7B,Stimulantien,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
190197A3092A25D2C12583240059D5A7,Stoffgebundene Sucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
858D37F19E8FAE6BC1258324005A623E,Stoffungebundene Sucht,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
1CDE295B59391C4EC1256F230035E077,Sucht,D,s.a. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
571B00ACDF9697E4C1256F230035E079,Sucht,D,s.a. Arzneimittelmissbrauch,,,3B6AD14B3C9E42D2C1256F230035AEBA
60798DD109C22AE4C1256F230035E078,Sucht,D,s.a. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
7B38F1EC2C7D6E1EC1256F230035E076,Sucht,D,s.a. Suchtgefahr,,,CA7C8554083CBEB5C1256F230035C719
80F37A17B8EEA92EC1256F230035E07B,Sucht,D,s.a. Alkoholismus,,,BAE19FF972414B33C1256F230035ADED
82AB3CED5DAFB453C1256F230035C717,Sucht,DS,"Zustand, der durch wiederholten Gebrauch von Drogen oder Alkohol hervorgerufen werden kann; gekennzeichnet durch seelische und körperlische Abhängigkeit vom Stoff sowie die Notwendigkeit, die Dosis ständig zu steigern, um die Wirkung zu erhalten.",Sucht und Prävention,,
8519FB12DEA42960C1256F230035E075,Sucht,D,s.a. Suchtprävention,,,6B78F27035FF3036C1256F230035C71A
8CA50C92DA6C7AF6C1256F230035E07A,Sucht,D,s.a. Rauchen,,,0F90F5C44ABB9DEAC1256F230035C2C0
CA7C8554083CBEB5C1256F230035C719,Suchtgefahr,DS,"Alle Situationen, die auf eine beginnende Sucht hindeuten, eine Sucht auslösen könnten etc.",Sucht und Prävention,,
B251129E881CCB94C12572BF003872BA,Suchtkrankenhilfe,ND,s. Drogenberatung,,,748192D4763F0DB5C1256F230035B3A5
6B78F27035FF3036C1256F230035C71A,Suchtprävention,DS,"Alle Maßnahmen, die eine Sucht verhindern, unterbinden bzw. revidieren können.",Sucht und Prävention,,
DC0F7D6069309AE7C1256F23003605F4,Suchtverhalten,ND,s. Sucht,,,82AB3CED5DAFB453C1256F230035C717
E5D1E412373E83FBC125722C003DE098,Synthetische Betäubungsmittel,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
8C20D99330D5F64EC12581A8005B5F18,Synthetische Droge,ND,s. Rauschgift,,,093A44259375AC5DC1256F230035C2C6
