DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
2B8E5A2AD8BEB60FC1257A44005A7FEE,Abbauprozess (See),ND,s. Eutrophierung,,,F8C4780273F77E89C1256F230035B4BA
B1E7622B1B047058C1256F230035E51D,Abfall,ND,s. Müll,,,8EFDDEBA26CFBB61C1256F230035BF9F
2CDEBC423891F275C1256F230035E51E,Abfallbeseitigung,ND,s. Müllbeseitigung,,,A5E49E28ACDCDB7DC1256F230035BFA1
3211CF30C185920AC12572F8002BD169,Abfallbeseitigung,ND,s. Recycling,,,BC0E5C6D7FD5B396C1256F230035C2DE
1163C068D0DFFF88C125742E005468BE,Abfallcontainer,ND,s. Müllbeseitigung,,,A5E49E28ACDCDB7DC1256F230035BFA1
4FD92BF8B9ACFDD4C1256F230035E51F,Abfalldeponie,ND,s. Mülldeponie,,,56EBBB54EF5CB399C1256F230035BFA2
2665610178F8F936C1257A4600531EF4,Abfallentsorgung,ND,s. Müllbeseitigung,,,A5E49E28ACDCDB7DC1256F230035BFA1
C0E0DD2EF181B8F5C1257A460053330F,Abfallentsorgung,ND,s. Recycling,,,BC0E5C6D7FD5B396C1256F230035C2DE
D961F6A1B3832040C1257A46005338B3,Abfallentsorgung,ND,s. Müllverbrennung,,,9107B6A56BB21D75C1256F230035BFA9
F9298D1544AEB886C1257A4600533E23,Abfallentsorgung,ND,s. Müllverwertung,,,CD648CAE8F3B985BC1256F230035BFAB
FF37A1D1A00AE6E0C1257A4600535B1E,Abfallentsorgung,ND,s. Müll,,,8EFDDEBA26CFBB61C1256F230035BF9F
B7CEAFBBB0F2A356C1257CE4005C8C13,Abfallrecycling,ND,s. Recycling,,,BC0E5C6D7FD5B396C1256F230035C2DE
1220ADD4565AFBFBC1256F230035E520,Abfallverarbeitung,ND,s. Müllbeseitigung,,,A5E49E28ACDCDB7DC1256F230035BFA1
C103FA57C61527C2C12572F8002BE808,Abfallverbrennung,ND,s. Müllverbrennung,,,9107B6A56BB21D75C1256F230035BFA9
0415E57C1913EC63C125783D005433AA,Abfallvermeidung,ND,s. Müllvermeidung,,,7ED5B62625C10ADDC1256F230035BFAA
1AA9547B9DE01901C1257A4600538C9E,Abfallverwertung,ND,s. Recycling,,,BC0E5C6D7FD5B396C1256F230035C2DE
6B847352382EEDC5C1257A46005384DB,Abfallverwertung,ND,s. Müllverwertung,,,CD648CAE8F3B985BC1256F230035BFAB
D52BECD8FDE1D332C1256F230035E521,Abfallwirtschaft,ND,s. Müll,,,8EFDDEBA26CFBB61C1256F230035BF9F
EE2A26A8C443CF32C1256F230035E529,Abgas,ND,s. Schadstoff,,,E6C9012D8253F94AC1256F230035C469
9A6DD010CCAE813BC1257A4600541A94,Abgase,ND,s. Schadstoff,,,E6C9012D8253F94AC1256F230035C469
