DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
598EA589153FD9EFC1257A4000551B03,3-A-Training,ND,s. Verkehrssicherheit,,,D619986123AD1FB9C1256F230035C96A
0925B0720FB17621C1256F230035AC6F,Abbiegevorgang (Verkehr),DS,"Rechts- oder Linksabbiegen im Straßenverkehr mit Verkehrsmittel (Auto, Fahrrad, Motorrad etc.).",Verkehrserziehung,,
381B12D78C9CF915C1257A4600571CA3,Abknickende Vorfahrt,ND,s. Verkehrserziehung,,,CDD6BB37FA97B345C1256F230035C960
DED70CA9801CC5C6C1257A46005733FF,Abkommen von der Fahrbahn,ND,s. Verkehrserziehung,,,CDD6BB37FA97B345C1256F230035C960
BB41FD45089827EEC1256F230035E53D,ABS,ND,s. Sicherheitssystem (Kfz),,,3E60C9EFB673B737C1256F230035C5A1
57CEAA9460596D4BC1257A4D00594CC6,ABS-Bremse,ND,s. Sicherheitssystem (Kfz),,,3E60C9EFB673B737C1256F230035C5A1
3F79593A913A05B1C1257A4E0052AAC9,Abschleppen (Kraftfahrzeug),ND,s. Verkehrsverhalten,,,C74ACAE8CA461287C1256F230035C96C
1560863AD3F8BDC6C1256F230035E543,Absicherung,ND,s. Verkehrsunfall,,,B0577FC6E8C6886EC1256F230035C96B
776F795391ABEC0BC1257A5D0056D0B2,Ackerschlepper,ND,s. Lastkraftwagen,,,60E10E0DA28ACDD6C1256F230035BCC3
C87CB441C01A9A3BC1256F230035E579,Adler (Eisenbahn),ND,s. Eisenbahn (Geschichte),,,AE4A2DA30806E64AC1256F230035B402
481F69C55EB80DD7C1256F230035E5AC,Airbag,ND,s. Sicherheitssystem (Kfz),,,3E60C9EFB673B737C1256F230035C5A1
E7086491C619D3DAC1256FB700377708,Airport,ND,s. Flughafen,,,18625D635B51D242C1256F230035B580
2EB24B3479D3D4A4C12572C7003C8070,Alkohol,ND,s. Verkehrssicherheit,,,D619986123AD1FB9C1256F230035C96A
ED4EC5DCB62AD2ECC1257A850060A766,Alkohol im Verkehr,ND,s. Verkehrsverhalten,,,C74ACAE8CA461287C1256F230035C96C
1EB299B9C05A9EDBC1257CE4005D8416,Alkomat,ND,s. Verkehrsverhalten,,,C74ACAE8CA461287C1256F230035C96C
0F88967CAAC84E50C1256F230035CD36,Ampel,D,s.a. Verkehrserziehung (Ampel),,,27DD9E83F73B4238C1256F230035C961
E5A759061E57FA6AC1256F230035AE17,Ampel,DS,Meist ferngesteuerte elektrische Anlage mit verschiedenfarbigen Leuchten oder Feldern zur Verkehrsregelung.,Verkehrserziehung,,
