DOKUMENT-ID,SCHLAGWORT,ART,TEXT,discipline,narrower,broader
02A8E90C1B011F29C1257A400055BCA0,32er-System,ND,s. Möbel,,,6E05F90A67F3585FC1256F230035BF2C
BF067BFCBB18AE3DC12572F8002C0E01,Abgaben,ND,s. Steuer (Staat),,,06C7AD7EC170F319C1256F230035C6AC
968DD54B96FD0F65C1256F230035E52F,Abhängigkeit (Wirtschaft),ND,s. Wirtschaftliche Abhängigkeit,,,02321E47797B5A34C1256F230035CB7C
308AE6C08DCB05DFC12572F8002E0CEC,Absatz,ND,s. Verkauf,,,5B593435773FB109C1256F230035C95A
A5EAB03763FECF15C1257B3D0044A910,Absatzlogistk,ND,s. Logistik,,,DAE5221DCA0A7E76C1257B3D004426A0
794AFB7753A1AF1CC1257A4D00598848,Absatzmarkt,ND,s. Weltmarkt,,,48F2ECB5B7DC9C64C1256F230035CADF
62E83DBA29F190A6C1256F230035E541,Abschreibung (Steuer),ND,s. Steuer (Staat),,,06C7AD7EC170F319C1256F230035C6AC
4319A1431895574DC1257A5600551B55,Abwärme,ND,s. Energieerzeugung,,,77702CB9F7F1A85EC1256F230035B449
37B8C7CBCB3CFD5DC1257A560057B15D,Abwertung,ND,s. Wechselkurs,,,43D0BA2035BE18E1C1256F230035CAA3
650D1041A4D2212DC1256F230035C0E7,Adam Opel AG,DS,"Rüsselsheim (Main), Automobilproduzent mit Werken in Rüsselsheim, Bochum, Kaiserslautern und Berlin, Tochtergesellschaft der General Motors Corporation, Detroit; gegründet 1862 von Adam Opel, seit 1898 zur Erzeugung von Kraftfahrzeugen.",Wirtschaftskunde,,
49817E07F13AB133C12576CD00515B1C,Adoption (Betriebswirtschaftslehre),ND,s. Betriebswirtschaft,,,713ABA18727CA89BC1256F230035B07A
FC58D2D6C3A6073FC1257A61005F3F43,Adressierung (Post),ND,s. Post,,,DCE5B089EA4D1610C1256F230035C231
5246B0B095858761C12572F9002A0489,Advertising,ND,s. Werbung,,,DDE00B09C80657F3C1256F230035CAF7
7CFC6F1014A36C3EC1256F230035E592,AG,ND,s. Aktiengesellschaft,,,2F9F733560D902D2C1256F230035ADD1
48C07F73F61E0E9FC1257A7A003ADFDE,Aggregation (Wirtschaft),ND,s. Wirtschaft,,,337D0C9D64E12AB2C1256F230035CB79
9C9AAC92B1D43BB4C12572F9002F0DA9,Agitation (Werbung),ND,s. Werbung,,,DDE00B09C80657F3C1256F230035CAF7
9B7BDE8524ADBED2C1257A7D005CBD98,Agrarproduktion,D,s.a. Agrobusiness,,,F65AF860C2E78BC9C1256F230035E5A5
38CDAD1F1BA23AFCC1257A7D005CCF54,Agrarwirtschaft,ND,s. Agrobusiness,,,F65AF860C2E78BC9C1256F230035E5A5
00D475FB5F953E10C1257A7D005C816E,Agribusiness,ND,s. Agrobusiness,,,F65AF860C2E78BC9C1256F230035E5A5
F65AF860C2E78BC9C1256F230035E5A5,Agrobusiness,DS,"Agribusiness oder auch Agrobusiness bezeichnet neben der Landwirtschaft auch die ihr vor- und nachgelagerten wirtschaftlichen Aktivitäten. Gemeinsam bilden sie eine Wertschöpfungskette. Dieses Gesamtsystem wird als Agribusiness oder Agrar- und Ernährungswirtschaft, seltener auch als Nahrungswirtschaft oder im englischen als Food Chain, Food Supply Chain, Food Value Chain bzw. Food System bezeichnet.",Wirtschaftskunde,,
6F05F79869367391C12572F90030DC32,Airmail,ND,s. Luftpost,,,5D6FE4B9C6FAE54DC1256F230035BDBE
8CC101BF212DEB19C1256F230035E5B1,Akademikerarbeitslosigkeit,ND,s. Arbeitslosigkeit,,,F3D6452E6FBFB08CC1256F230035AE92
0BAAA81DD0FFD956C1257A7F005F75EF,Akkreditiv,ND,s. Zahlungsverkehr,,,A005A435E747EB71C1256F230035CBDA
4D6D2CFAB3A0E0B5C1256F230035CCBF,Aktie,D,s.a. Börse,,,65F3DCDE852A2BDBC1256F230035B137
C5A39B03049F96C0C1256F230035CCBE,Aktie,D,s.a. Wertpapier,,,77914795A51FEA51C1256F230035CB07
CB45614D61EE5B62C1256F230035ADD0,Aktie,DS,Anteil am Grundkapital einer Aktiengesellschaft. Durch das Wertpapier wird die Mitgliedschaft an einer Gesellschaft und ein Anspruch auf einen Teil des Ertrages verbrieft.,Wirtschaftskunde,,
23960C7348F1450AC1257A7F0060274D,Aktienemission,ND,s. Börse,,,65F3DCDE852A2BDBC1256F230035B137
63553D7F572228DFC1257A7F00601B1A,Aktienemission,ND,s. Aktie,,,CB45614D61EE5B62C1256F230035ADD0
2F9F733560D902D2C1256F230035ADD1,Aktiengesellschaft,DS,"Eine Handelsgesellschaft, deren Gesellschafter (Aktionäre) mit Einlagen auf das in Aktien zerlegte Grundkapital beteiligt sind, ohne persönlich für die Verbindlichkeiten der Aktiengesellschaft zu haften.",Wirtschaftskunde,,
EA97D1684F8E599AC1256F230035CCC0,Aktiengesellschaft,D,s.a. GmbH,,,13FCA6B9C33044E9C1256F230035B713
0936638F43FB12E0C1257A80004C0349,Aktienkurs,ND,s. Aktie,,,CB45614D61EE5B62C1256F230035ADD0
2619A65100E633A1C12572FA003BB4FC,Allgemeine Ortskrankenkassen,ND,s. Krankenversicherung,,,6317A704E66177BFC1256F230035BBDC
449E167B6D8CBA0CC1256F230035E610,Altersaufbau,ND,s. Alterspyramide,,,5E639D5B96B128DCC1256F230035AE02
